mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,CV_RMSE
0.2717876434326172,0.11749345030535126,0.01780276298522949,0.007835567286249616,0.8,0.01,3,100,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.8}",-1.981644483949412,-1.9372726043118003,-1.8426233004681676,-2.0026908056150283,-1.9200354001682383,-1.9368533189025292,0.05568327879682261,324,-1.8743139758120888,-1.8923162804902576,-1.905565057624619,-1.8784717882381263,-1.8962453669774475,-1.8893824938285078,0.011521156493524717,1.9368533189025292
0.03632688522338867,0.000620696073371536,0.0020683765411376952,7.341118280213491e-05,0.8,0.01,3,100,0.9,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 0.9}",-1.9760412573398034,-1.9316939040026293,-1.8356258908883076,-2.0055746922065043,-1.9206758807862478,-1.9339223250446984,0.05788037541561824,323,-1.8679034485078725,-1.8856754992948837,-1.8997973966819486,-1.874963384032794,-1.8921361568764392,-1.884095177078788,0.01148282363556863,1.9339223250446984
0.02906908988952637,0.00025299308022825933,0.002033424377441406,8.798130146110246e-06,0.8,0.01,3,100,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 100, 'subsample': 1.0}",-1.9565798292628669,-1.9116215117933735,-1.8056496109437379,-1.975622069936581,-1.9010704634663225,-1.9101086970805763,0.05907156185685007,322,-1.8458576259460924,-1.8631784601857992,-1.8775390661893014,-1.8503399471861182,-1.873559654238455,-1.862094950749153,0.012433542906610286,1.9101086970805763
0.06606369018554688,0.0007735711949321005,0.0023618698120117187,6.107604624052417e-05,0.8,0.01,3,200,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.8}",-1.3963160904910115,-1.3576616294976611,-1.2751901629020665,-1.3865055898976353,-1.308625418037405,-1.344859778165156,0.04628778943813824,297,-1.2558723426151759,-1.2680084653182095,-1.2695396069832994,-1.2600048743648962,-1.2736234157187558,-1.2654097410000673,0.006503047974630045,1.344859778165156
0.06708855628967285,0.0010173345344054263,0.002453041076660156,9.435249518133278e-05,0.8,0.01,3,200,0.9,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.9}",-1.3882648308951133,-1.3515120781855334,-1.2680728171770839,-1.3860085698552393,-1.3078367978230558,-1.3403390187872053,0.04644615566445506,296,-1.2468308501405776,-1.2595324471405671,-1.2625202100116595,-1.2528757169428415,-1.2677530489915867,-1.2579024546454467,0.007332983940682968,1.3403390187872053
0.05396432876586914,0.00036755910339607533,0.0024091243743896485,7.150404924133472e-05,0.8,0.01,3,200,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'subsample': 1.0}",-1.3916644191508705,-1.340559279760516,-1.2608233036886325,-1.3813542763560354,-1.3085219690592482,-1.3365846496030602,0.04812731813014053,295,-1.2377174987493678,-1.254662067516536,-1.2578406018174824,-1.2453170781890615,-1.2639880186420995,-1.2519050529829097,0.009311477167898317,1.3365846496030602
0.09675378799438476,0.002086117686197609,0.002639436721801758,6.512094383333755e-05,0.8,0.01,3,300,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'subsample': 0.8}",-1.1194541080598341,-1.060648957547811,-1.0192850515129992,-1.0937568752932576,-1.0318181836991207,-1.0649926352226047,0.037421994892414594,272,-0.9612439461659129,-0.9681767964455785,-0.9652473812872324,-0.9611487944569808,-0.970830713862813,-0.9653295264437034,0.0038091270249640246,1.0649926352226047
0.1001546859741211,0.003598504965216134,0.0029591083526611327,0.00031734580818050344,0.8,0.01,3,300,0.9,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'subsample': 0.9}",-1.1181538542664773,-1.055919252811451,-1.012086512641095,-1.095099789311999,-1.0281160566559158,-1.0618750931373875,0.0398126279366273,270,-0.9551061871777051,-0.9607128079046341,-0.9583998870445611,-0.9554284194452844,-0.9634337569914747,-0.9586162117127319,0.0031664979470570572,1.0618750931373875
0.08006024360656738,0.002728559518283884,0.002930450439453125,0.00033883557932100204,0.8,0.01,3,300,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 300, 'subsample': 1.0}",-1.1131773608491826,-1.042896132038906,-0.9994731068143955,-1.0846563692978604,-1.0229148454694992,-1.0526235628939689,0.04121908518253095,269,-0.9389590160802425,-0.9511979913645865,-0.9465814634028806,-0.9424142863095109,-0.9559970739962985,-0.9470299662307038,0.006073340883717428,1.0526235628939689
0.051523351669311525,0.0008558294064781655,0.00215296745300293,5.2773487977852426e-05,0.8,0.01,4,100,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 100, 'subsample': 0.8}",-1.8687907123984069,-1.791689379957637,-1.7096907889514308,-1.877651072990688,-1.7838436373704216,-1.806333118333717,0.0617205919752284,315,-1.728627530049155,-1.7522427218346297,-1.7589409357774919,-1.7333778861736557,-1.7485770753179308,-1.7443532298305726,0.01149471114538897,1.806333118333717
0.05138111114501953,0.00038581539500380345,0.0021639347076416017,5.357799685895156e-05,0.8,0.01,4,100,0.9,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 100, 'subsample': 0.9}",-1.855552614992523,-1.7875301209822565,-1.7043468778927702,-1.875919866332034,-1.784604543392949,-1.8015908047185065,0.060628876905046925,314,-1.72015065632804,-1.7433495586230932,-1.7466883086844485,-1.7262965611151326,-1.7405089576599004,-1.7353988084821228,0.010316374542304411,1.8015908047185065
0.045438385009765624,0.0007901483880294702,0.0021576881408691406,9.932828185045057e-05,0.8,0.01,4,100,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 100, 'subsample': 1.0}",-1.844850844603609,-1.7683945138676547,-1.6779953156561196,-1.8509288194788118,-1.758117720418786,-1.7800574428049962,0.06364745097207467,313,-1.6983420597302834,-1.720158641256764,-1.72391622040335,-1.7061858836319663,-1.7149927860371634,-1.7127191182119055,0.009330317579383244,1.7800574428049962
0.09978423118591309,0.004824176570838344,0.0027370452880859375,0.00016601488158378622,0.8,0.01,4,200,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 200, 'subsample': 0.8}",-1.2812486340797413,-1.196133832090298,-1.1271539436976208,-1.2427210026721471,-1.1561675383933063,-1.2006849901866228,0.055976527964810646,288,-1.0815728602105457,-1.0968155969769386,-1.096455115236295,-1.0901177296496618,-1.1004847342054187,-1.093089207255772,0.006653796873665782,1.2006849901866228
0.10099301338195801,0.004962145006507133,0.002522993087768555,0.0001289894663599064,0.8,0.01,4,200,0.9,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 200, 'subsample': 0.9}",-1.2655765542969808,-1.1914215816914528,-1.1215965581413312,-1.2375221241153416,-1.1569520283431136,-1.194613769317644,0.052224426634494274,287,-1.0711106588281607,-1.0852979156294171,-1.083412539475151,-1.0801822621795631,-1.0877848573888806,-1.0815576467002346,0.005783418193573672,1.194613769317644
0.08350143432617188,0.001155674980831308,0.002422332763671875,7.402749067787318e-05,0.8,0.01,4,200,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 200, 'subsample': 1.0}",-1.2742369570834355,-1.1784089596401728,-1.1141624171473503,-1.2294318236744848,-1.1478888443297903,-1.1888258003750467,0.05710145454296642,286,-1.0598993053749015,-1.0742218570207387,-1.0730721679375963,-1.0733069709640415,-1.0758644750907822,-1.071272955277612,0.00577082964231774,1.1888258003750467
0.142075777053833,0.00358663029111766,0.003257560729980469,0.00033048851762960426,0.8,0.01,4,300,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 300, 'subsample': 0.8}",-1.0409501105475034,-0.926249561275494,-0.8926139426359905,-0.976425644292039,-0.8980747902664297,-0.9468628098034912,0.05563182146662878,249,-0.8008975687094732,-0.8112769612963342,-0.8049548712485343,-0.8062384887187538,-0.8122461204435438,-0.8071228020833278,0.004189054656537656,0.9468628098034912
0.14304251670837403,0.0029218718326822646,0.0033128738403320314,0.0003154215772426878,0.8,0.01,4,300,0.9,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 300, 'subsample': 0.9}",-1.0362489017118848,-0.9235182214845256,-0.8895847241539732,-0.9749991380218272,-0.8974496628499025,-0.9443601296444225,0.054804411033575036,247,-0.7931252318733905,-0.8013746377256467,-0.7949782092850888,-0.7968962252050993,-0.8005461163370358,-0.7973840840852522,0.00316502854084035,0.9443601296444225
0.1273655891418457,0.0028935437054566303,0.0029003143310546873,0.00010476996766907765,0.8,0.01,4,300,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 300, 'subsample': 1.0}",-1.0559445697763938,-0.9192104731907873,-0.8854008747745933,-0.9681916667113809,-0.8987539076412141,-0.9455002984188738,0.06196959892449752,248,-0.7825619780696458,-0.7909755078570739,-0.7810901689369371,-0.7878809058606908,-0.7933051173195448,-0.7871627356087785,0.004707969620265317,0.9455002984188738
