mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_max_depth,param_max_features,param_min_samples_leaf,param_min_samples_split,param_n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,CV_RMSE
0.38589181900024416,0.03148593093144311,0.016979742050170898,0.0017147439959443365,,sqrt,1,2,100,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 100}",-59.04532013103904,-51.637844374894655,-48.217627503400564,-52.13085625499215,-46.81763274348214,-51.569856201561706,4.243182047776778,57,-19.66705021000268,-20.620782391837352,-19.329612733512814,-19.353476485075795,-20.83290218120897,-19.960764800327524,0.6402604348370486,51.569856201561706
0.7336151123046875,0.060612304497830345,0.036231708526611325,0.003148950038355755,,sqrt,1,2,200,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 200}",-58.97057286345024,-50.35546790275646,-47.63159085629371,-53.43792262090601,-46.38307056864748,-51.35572496241078,4.5148297064353216,56,-19.220852432208467,-19.683085785361335,-19.257506894750097,-19.154903164372616,-20.20346503583845,-19.50396266250619,0.39601086970829064,51.35572496241078
1.1332187175750732,0.03339169007797851,0.053236865997314455,0.0035277523523202375,,sqrt,1,2,300,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 2, 'n_estimators': 300}",-57.76770112096853,-50.70730514521061,-47.200696416572235,-53.82242383476154,-46.02145759404844,-51.10391682231227,4.313238312936499,55,-19.22615865378728,-19.527612949442247,-18.96895108554929,-18.965140902295225,-19.93712008016701,-19.32499673424821,0.3692646777517703,51.10391682231227
0.3108266830444336,0.007555604235269521,0.014453840255737305,0.0012224352587570137,,sqrt,1,5,100,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 100}",-56.97830894042735,-53.02959454317043,-48.474142515949524,-53.45025369692083,-47.51170453817704,-51.88880084692903,3.4773984962133557,60,-24.28758276626828,-25.41821462738425,-25.061138981216452,-24.663882319930565,-25.835644990990986,-25.053292737158106,0.5446571088593,51.88880084692903
0.6554521560668946,0.03312013031304123,0.030408573150634766,0.004347372822053778,,sqrt,1,5,200,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 200}",-57.53013571625062,-51.51508283824617,-48.40895685464951,-54.88001581250709,-47.18046983137643,-51.90293221060597,3.87784445055645,61,-24.43484603299431,-24.619459562557566,-24.56301920538416,-24.505060785749976,-25.11586196926597,-24.6476495111904,0.24199038522925914,51.90293221060597
0.9122001171112061,0.030466739849656057,0.037125349044799805,0.0020808444493315816,,sqrt,1,5,300,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 1, 'min_samples_split': 5, 'n_estimators': 300}",-57.24319745256308,-51.353519686793234,-48.33152917460546,-54.55635838204075,-47.26139015861216,-51.74919897092293,3.7427695666203107,59,-24.21597924715711,-24.46193682929863,-24.416954393093427,-23.957531571532666,-24.929166482379337,-24.396313704692233,0.3205354246083233,51.74919897092293
0.3115495204925537,0.010537223764933143,0.014915800094604493,0.0011163999251375511,,sqrt,2,2,100,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 100}",-59.35841631375008,-56.46377173890269,-49.556479399081425,-57.36712605431708,-48.31740734789903,-54.21264017079007,4.425629668371974,78,-27.658625545736065,-29.423595229518288,-27.90815852484451,-28.945161930612752,-28.374677640557863,-28.462043774253896,0.6508282284704114,54.21264017079007
0.5640873908996582,0.017805933798059476,0.024353981018066406,0.001678720469975033,,sqrt,2,2,200,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 200}",-58.71403633111295,-55.359657322144784,-49.339221114976084,-56.458931947138055,-47.84552644614904,-53.54347463230418,4.211305744511019,74,-27.560584783656036,-28.473094906942386,-27.56725435974065,-27.848341593366968,-28.40010752440903,-27.969876633623016,0.39565705601560874,53.54347463230418
0.8725049495697021,0.011222480716978388,0.03612937927246094,0.0018463982856203895,,sqrt,2,2,300,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 2, 'n_estimators': 300}",-59.10641554958938,-55.26583893012862,-49.10818403971526,-55.947031787202725,-47.82317394686778,-53.45012885070075,4.290454820139382,72,-27.2349906881872,-28.463081860735347,-27.355196415969726,-27.450628440140477,-28.366974987586367,-27.774174478523822,0.5285734840922797,53.45012885070075
0.2952296733856201,0.016172246278263486,0.015301990509033202,0.002233910856668615,,sqrt,2,5,100,"{'max_depth': None, 'max_features': 'sqrt', 'min_samples_leaf': 2, 'min_samples_split': 5, 'n_estimators': 100}",-59.80075747151651,-55.30693370332964,-49.908204894003184,-56.47117134890372,-47.24366222905206,-53.74614592936102,4.550433575003453,76,-29.198392569951718,-29.847291160114413,-30.144554309855046,-29.924879042893604,-30.059649469929855,-29.83495331054893,0.3346011294515251,53.74614592936102
