mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_min_child_samples,param_n_estimators,param_num_leaves,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,CV_RMSE
0.034746217727661136,0.0049682193399597195,0.00235595703125,4.644810033247958e-05,0.8,0.01,10,100,7,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'min_child_samples': 10, 'n_estimators': 100, 'num_leaves': 7}",-1.891615179119163,-1.8663092414367988,-1.7629746758243638,-1.9357596822873888,-1.8270700197222252,-1.8567457596779877,0.05869276321770097,215,-1.7964211977565145,-1.8160933393485141,-1.8194452216853931,-1.804077113951626,-1.8124903423881256,-1.8097054430260346,0.008385385295472315,1.8567457596779877
0.04051885604858398,0.0013702481852051578,0.002969646453857422,0.000323976465075183,0.8,0.01,10,100,15,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'min_child_samples': 10, 'n_estimators': 100, 'num_leaves': 15}",-1.710937650907251,-1.6472461922421369,-1.5758351525885268,-1.7426216672062436,-1.6208818607520978,-1.6595045047392514,0.060326389854624095,208,-1.586909959626254,-1.598932763785405,-1.6066731793023565,-1.5936471107085932,-1.607684009394711,-1.598769404563464,0.007859400094284605,1.6595045047392514
0.08235163688659668,0.01075832261327465,0.0033121585845947267,0.00013022215885905822,0.8,0.01,10,100,31,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'min_child_samples': 10, 'n_estimators': 100, 'num_leaves': 31}",-1.6139822826640218,-1.5664617635354687,-1.4788162828953733,-1.6625909992968222,-1.5259259193341634,-1.5695554495451698,0.06446093418873448,201,-1.4739641242415193,-1.4859653784171605,-1.494431721935072,-1.4833745214645915,-1.493863999064296,-1.4863199490245278,0.0075389816374575565,1.5695554495451698
0.04498114585876465,0.004292537997311079,0.004263925552368164,0.0010150741427385045,0.8,0.01,10,200,7,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'min_child_samples': 10, 'n_estimators': 200, 'num_leaves': 7}",-1.3163932900516808,-1.2776219440037255,-1.2025291820357724,-1.28525167386516,-1.1997837289641518,-1.2563159637840982,0.04688158851202801,196,-1.1765049851949583,-1.1843234970516239,-1.1832949893410782,-1.1858657492510665,-1.1953741666035598,-1.1850726774884572,0.006064263162521417,1.2563159637840982
0.07021827697753906,0.0034518542099379766,0.004104995727539062,7.551188780881334e-05,0.8,0.01,10,200,15,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'min_child_samples': 10, 'n_estimators': 200, 'num_leaves': 15}",-1.145320655474616,-1.0681079270839313,-1.0118656831584447,-1.0903589228001351,-0.9992848117925706,-1.0629876000619396,0.0533397313304395,189,-0.9447627714500232,-0.9587038748584396,-0.9633138445968009,-0.9594729841648744,-0.961809235232835,-0.9576125420605945,0.0066315298541832065,1.0629876000619396
0.1173004150390625,0.001778657778121808,0.004865598678588867,7.996779503057985e-05,0.8,0.01,10,200,31,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'min_child_samples': 10, 'n_estimators': 200, 'num_leaves': 31}",-1.0486649397064007,-0.9821596411828627,-0.9179364634946281,-1.0131078032086982,-0.8987584844822831,-0.9721254664149747,0.05649369812552343,173,-0.8128082874649819,-0.8265030856866677,-0.8332147587407783,-0.827775870101559,-0.8395811873471519,-0.8279766378682277,0.008881373728965707,0.9721254664149747
0.05297384262084961,0.00044034213036958295,0.0045684814453125,0.00018214827429280985,0.8,0.01,10,300,7,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'min_child_samples': 10, 'n_estimators': 300, 'num_leaves': 7}",-1.0903200816776004,-0.9942726745264646,-0.9668172512744181,-1.0003339074282505,-0.9190896825665448,-0.9941667194946557,0.05597869126443794,176,-0.8957645393605352,-0.9004272018649164,-0.9043305127743888,-0.909936735049034,-0.9081141508808028,-0.9037146279859354,0.005147053753996513,0.9941667194946557
0.09555721282958984,0.0007497254244480622,0.005629301071166992,0.00013685600262364482,0.8,0.01,10,300,15,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'min_child_samples': 10, 'n_estimators': 300, 'num_leaves': 15}",-0.9556529657339234,-0.8389325214018587,-0.8154399818873861,-0.8362919740195284,-0.7656553111408639,-0.8423945508367121,0.062437417199924426,152,-0.6932974878344481,-0.7073719600650752,-0.7107292129707421,-0.7104418277738073,-0.7124277646576905,-0.7068536506603527,0.006971426543771493,0.8423945508367121
0.17095541954040527,0.0009999610261301692,0.007010555267333985,0.00014745926796839607,0.8,0.01,10,300,31,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'min_child_samples': 10, 'n_estimators': 300, 'num_leaves': 31}",-0.8806634762428763,-0.7774003253807449,-0.7354553349492177,-0.7794173183289397,-0.69116658830159,-0.7728206086406737,0.06286193950614262,128,-0.5721481691168583,-0.5830228572082014,-0.5930851037780434,-0.5831260926749812,-0.6052679396572351,-0.5873300324870638,0.011149916622360782,0.7728206086406737
0.020778846740722657,0.0005082684281103315,0.0020447254180908205,7.829869415209224e-05,0.8,0.01,20,100,7,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'min_child_samples': 20, 'n_estimators': 100, 'num_leaves': 7}",-1.931678495850188,-1.868013739609301,-1.7726193515304332,-1.9407303670314593,-1.8435939871313503,-1.8713271882305462,0.06161562783914875,216,-1.814242554557039,-1.8305316850610498,-1.8426797783170026,-1.824653008040338,-1.833248641830405,-1.829071133561167,0.009425355022632906,1.8713271882305462
