mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_colsample_bytree,param_learning_rate,param_max_depth,param_n_estimators,param_subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,CV_RMSE
0.1528618812561035,0.0391710009551763,0.00824131965637207,0.004694083886846506,0.8,0.01,2,200,0.9,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 200, 'subsample': 0.9}",-100.24750802734722,-97.22821564865077,-92.77672012104608,-99.8272369750111,-95.88931650067131,-97.1937994545453,2.737647870402307,654,-93.0637069995862,-93.63019287233645,-94.46167932609464,-93.707295748699,-94.85242439151622,-93.9430598676465,0.6360254590906173,97.1937994545453
0.12455935478210449,0.03257390998807685,0.009302568435668946,0.0029017022031605716,0.8,0.01,2,200,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 200, 'subsample': 1.0}",-99.79837341165961,-97.01594886064817,-92.63880491472976,-100.00731898803039,-95.07083875992475,-96.90625698699853,2.813285002006322,652,-92.97282652834025,-93.28532079044969,-93.91193654192995,-93.27667806717149,-94.2299129479991,-93.53533497517809,0.46262156062962634,96.90625698699853
0.18596034049987792,0.020724060913809784,0.009279632568359375,0.00778421486623412,0.8,0.01,2,240,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 240, 'subsample': 0.8}",-91.21864028777482,-88.73150012693365,-84.46434441587516,-90.56727503579384,-87.00440806248274,-88.39723358577206,2.4571825310496305,630,-83.9908117213234,-84.93894881713337,-85.65022032267487,-84.96880830688964,-85.78925897245475,-85.06760962809521,0.6396908683154116,88.39723358577206
0.19095878601074218,0.013448030684549046,0.01050868034362793,0.004273959791540821,0.8,0.01,2,240,0.9,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 240, 'subsample': 0.9}",-91.29562344251944,-88.31792059815687,-84.22076094348573,-90.72977613506957,-86.69058195531419,-88.25093261490916,2.6113702420421903,629,-84.29154313504456,-84.65245443519731,-85.03567824978757,-84.56464726970391,-85.56780257891107,-84.8224251337289,0.4423210574600101,88.25093261490916
0.16729998588562012,0.02495462271841741,0.01339859962463379,0.010495360678681637,0.8,0.01,2,240,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 2, 'n_estimators': 240, 'subsample': 1.0}",-90.62685012084546,-88.17791114570788,-84.04591691940784,-90.91867063973788,-85.96156227039839,-87.94618221921948,2.6542852843833,627,-83.87853648675762,-84.20983264466281,-84.56052741909578,-84.07938330997051,-85.00765176115262,-84.34718632432786,0.39798145032850685,87.94618221921948
0.12588329315185548,0.012788208451405698,0.00556635856628418,0.001097255288560066,0.8,0.01,3,80,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 80, 'subsample': 0.8}",-129.7095555105636,-126.76199047025271,-121.62406966255436,-132.20071865838742,-127.54000088909616,-127.56726703817085,3.522189167409737,711,-124.53819888866863,-125.39052978786425,-126.49091213361328,-124.56006255655217,-125.81403805901,-125.35874828514167,0.7485043790112703,127.56726703817085
0.11144704818725586,0.012966204564878167,0.009519720077514648,0.0036521977494937243,0.8,0.01,3,80,0.9,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 80, 'subsample': 0.9}",-129.24252246282563,-126.94384236512022,-121.05175914193543,-132.28087049753086,-127.32962706095238,-127.36972430567289,3.6803911988200073,710,-124.25794452888363,-125.21434193696399,-125.99022126237311,-124.26461496338278,-125.44437304677282,-125.03429914767526,0.6796327443161395,127.36972430567289
0.10945248603820801,0.009755073642130142,0.01241927146911621,0.01424634042929638,0.8,0.01,3,80,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 80, 'subsample': 1.0}",-129.06716794885887,-126.47134289669874,-121.11349353964098,-132.10620397795356,-127.0373201015363,-127.15910569293769,3.609757851056776,709,-123.90799213239342,-124.78802894864099,-125.85691474932085,-123.91052597737522,-125.13470006923471,-124.71963237539303,0.7461613132721163,127.15910569293769
0.1379781723022461,0.009714256158097921,0.00488591194152832,0.0005610658785620184,0.8,0.01,3,120,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 120, 'subsample': 0.8}",-109.74620466606895,-106.93750935860187,-101.77739647569805,-110.80456415469939,-106.2213071197337,-107.0973963549604,3.1576818547616665,672,-102.99726711459296,-104.0014559000305,-105.04653246417709,-103.59716786423016,-104.5195237264548,-104.0323894138971,0.7110047565232733,107.0973963549604
0.13676419258117675,0.023063989428653585,0.007385063171386719,0.004928125860825072,0.8,0.01,3,120,0.9,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 120, 'subsample': 0.9}",-109.23329592572705,-106.87354104632178,-101.15986853712832,-110.96140710099452,-106.13931238766492,-106.87348499956731,3.3305926566190176,671,-102.78873218532812,-103.83769178539163,-104.34899887005699,-103.09942329585526,-104.08700197321458,-103.63236962196932,0.5929858608477823,106.87348499956731
0.11725792884826661,0.010828025349641012,0.006141948699951172,0.0020532636292505016,0.8,0.01,3,120,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 120, 'subsample': 1.0}",-109.1376263342469,-106.08688822221308,-100.69704386299593,-110.89724674950763,-106.0167123679936,-106.56710350739142,3.4741578966948774,670,-102.51170414003998,-103.39704971223394,-104.05741555325407,-102.84158711132298,-103.76321316731887,-103.31419393683397,0.5706502966711792,106.56710350739142
0.2245795726776123,0.0410674853726069,0.019061803817749023,0.01012984268082557,0.8,0.01,3,160,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 160, 'subsample': 0.8}",-94.55411230323973,-91.87651830269992,-86.60414984423824,-94.45965422784691,-89.75336615371141,-91.44956016634724,3.007865648530838,639,-86.84476275544151,-87.55306688440021,-88.29134102073229,-87.30138585879064,-88.06566363023136,-87.6112440299192,0.5207531662240185,91.44956016634724
0.20542726516723633,0.016675209847441433,0.009955549240112304,0.003754022916989504,0.8,0.01,3,160,0.9,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 160, 'subsample': 0.9}",-93.49224494733767,-91.47587715842829,-86.01520854529377,-94.31133045490506,-89.72369571479341,-91.00367136415164,2.962420780706243,638,-86.36757335670701,-87.18600504440475,-87.55695056018465,-86.61474182973754,-87.72019801420528,-87.08909376104785,0.5238655950359394,91.00367136415164
0.18146038055419922,0.016654381741550213,0.009612846374511718,0.0027028582321247667,0.8,0.01,3,160,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 160, 'subsample': 1.0}",-93.34477799118885,-90.59154203902298,-85.54428090666629,-94.46001757031051,-89.61576911343167,-90.71127752412407,3.1273217280293593,636,-85.97521178138042,-86.70290152178609,-87.1590415780029,-86.33959898414086,-87.30792094332034,-86.69693496172613,0.49708255738367935,90.71127752412407
0.2486241340637207,0.02295416361414712,0.007934474945068359,0.002011488766048671,0.8,0.01,3,200,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.8}",-84.29764474889004,-81.01215758923111,-76.84953575134813,-83.45960122754022,-79.07169174666733,-80.93812621273536,2.7513571657213536,600,-75.61995120150175,-76.36647188759535,-76.9685194620153,-76.13227618397768,-76.86615603905535,-76.3906749548291,0.4942382731287158,80.93812621273536
0.2763061046600342,0.022986401289381175,0.0077095508575439455,0.003155618753081738,0.8,0.01,3,200,0.9,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'subsample': 0.9}",-83.09074005928399,-80.6213671092685,-76.15645519330789,-83.15911286169442,-78.61574163465907,-80.32868337164277,2.6858000439556373,599,-75.11885262796369,-75.967223398741,-76.24402237910844,-75.32484262234014,-76.44718084710006,-75.82042437505068,0.5160645478201874,80.32868337164277
0.21779313087463378,0.011490450340055998,0.011850118637084961,0.006929432441711423,0.8,0.01,3,200,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 200, 'subsample': 1.0}",-83.07360414618924,-79.8636978795231,-75.507692022626,-83.32700843602251,-78.52957614560721,-80.06031572599362,2.9277770813372337,598,-74.7508147637758,-75.46312642074173,-75.68339379228534,-75.05848882070872,-75.9548462611888,-75.38213401174008,0.43095864044861903,80.06031572599362
0.3243431091308594,0.044500223521931066,0.00546116828918457,0.0006638401044275072,0.8,0.01,3,240,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 240, 'subsample': 0.8}",-76.1721663896636,-72.31876207426717,-69.03167468020825,-75.00396637290315,-70.61303777586397,-72.62792145858123,2.656900007043015,579,-66.87834282897487,-67.70038122823767,-67.94221446323071,-67.39152979395722,-68.03162013154684,-67.58881768918945,0.4188333192828638,72.62792145858123
0.2977543830871582,0.024417139415731134,0.013270854949951172,0.01082128752910236,0.8,0.01,3,240,0.9,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 240, 'subsample': 0.9}",-74.95434586747501,-71.91317766826019,-68.46818815031382,-74.87088145690721,-70.50020021941494,-72.14135867247424,2.5139944675188697,577,-66.52508328996355,-67.28120176809422,-67.38057780813268,-66.75193594750917,-67.72815871410465,-67.13339150556085,0.4364044459397727,72.14135867247424
0.25625052452087405,0.017701611659761547,0.006946468353271484,0.0019424530013723515,0.8,0.01,3,240,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 3, 'n_estimators': 240, 'subsample': 1.0}",-75.03195595436168,-70.93232608322838,-67.89761395916922,-74.96645843320094,-70.40101236533245,-71.84587335905854,2.7712855397535687,574,-66.10361188467934,-66.62948868543788,-66.8959663192053,-66.32220791227542,-67.16847433673563,-66.62394982766672,0.3827088580128383,71.84587335905854
0.12450413703918457,0.00400403373410545,0.005628013610839843,0.0009249138046381601,0.8,0.01,4,80,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 80, 'subsample': 0.8}",-123.65745504402533,-119.30829001672329,-114.91092704917025,-125.98924725414047,-120.32576714633522,-120.83833730207891,3.8004542713595093,700,-116.77943607613417,-118.19995524695591,-118.74498968110005,-117.06235881494554,-118.05995098340111,-117.76933816050737,0.7350522034935937,120.83833730207891
0.1350545883178711,0.009831888008833141,0.009192180633544923,0.007555494286497173,0.8,0.01,4,80,0.9,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 80, 'subsample': 0.9}",-123.16963476719471,-119.13888357620387,-114.53324621356852,-125.82668159917924,-120.2504629240286,-120.583781816035,3.820535227034694,699,-116.48918234736986,-117.79661710422633,-118.14222515900774,-116.57335827213822,-117.63721525818376,-117.32771962818519,0.6710108008937954,120.583781816035
0.14234161376953125,0.011983927423497376,0.005527591705322266,0.0015340490182625872,0.8,0.01,4,80,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 80, 'subsample': 1.0}",-122.70076792205757,-118.56246048793554,-114.65248139972265,-125.55044247823791,-120.05515395781102,-120.30426124915293,3.696057400054373,697,-116.15502685273132,-117.30274439541367,-117.932943101887,-116.29456936843121,-117.17496541766062,-116.97204982722477,0.6633785996638618,120.30426124915293
0.20876517295837402,0.033309761574813156,0.01134634017944336,0.006485475016788024,0.8,0.01,4,120,0.8,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 120, 'subsample': 0.8}",-102.95702067113271,-97.7703044370758,-93.29803527692538,-103.07471817328079,-97.78411643237658,-98.97683899815824,3.681347154346743,658,-93.5936471716168,-94.87145337708492,-95.26205819170532,-94.23538007736073,-94.98340879869423,-94.5891895232924,0.6006862181202753,98.97683899815824
0.21749253273010255,0.053606509758432515,0.006411457061767578,0.002132993872038354,0.8,0.01,4,120,0.9,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 120, 'subsample': 0.9}",-102.24221635582404,-97.4323037428563,-92.81291980639998,-103.19536978444545,-97.59363088267325,-98.65528811443981,3.7479186244327374,656,-93.132050384551,-94.40751844845644,-94.56189263600545,-93.68132732267111,-94.40552061720618,-94.03766188177804,0.546633024020231,98.65528811443981
0.1817854881286621,0.020707144933788686,0.005229806900024414,0.000590210277298159,0.8,0.01,4,120,1.0,"{'colsample_bytree': 0.8, 'learning_rate': 0.01, 'max_depth': 4, 'n_estimators': 120, 'subsample': 1.0}",-101.57029498482468,-96.60812321508261,-92.91316443114682,-102.70413827580691,-97.08337945791888,-98.17582007295599,3.5601901638370816,655,-92.77581276228253,-93.82727008898908,-94.35101530863315,-93.22474213609034,-93.82970544003969,-93.60170914720696,0.5456241815857875,98.17582007295599
