mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_l2_regularization,param_learning_rate,param_max_iter,param_max_leaf_nodes,param_min_samples_leaf,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,CV_RMSE
0.4933842658996582,0.0004079786122634542,0.015249347686767578,0.0003312392693748172,0.1,0.01,200,31,10,"{'l2_regularization': 0.1, 'learning_rate': 0.01, 'max_iter': 200, 'max_leaf_nodes': 31, 'min_samples_leaf': 10}",-1.1161187144992435,-0.9822861599064477,-0.8952297744096457,-0.9729474628402022,-0.8722670557953786,-0.9677698334901835,0.08558944186496509,174,-0.7999139374578638,-0.8119246741950458,-0.812319882494677,-0.8188205377188292,-0.8306736438456491,-0.814730535142413,0.010041180259193455,0.9677698334901835
0.46367945671081545,0.001139058225553138,0.015235042572021485,0.0006097274360828657,0.1,0.01,200,31,20,"{'l2_regularization': 0.1, 'learning_rate': 0.01, 'max_iter': 200, 'max_leaf_nodes': 31, 'min_samples_leaf': 20}",-1.1334480804084073,-1.0809141378042966,-0.922807231521917,-1.0116945684374374,-0.8817854719768847,-1.0061298980297886,0.09406143809659741,184,-0.8716299156504799,-0.8994328874755909,-0.909087959626179,-0.9055209528315505,-0.9163153444309667,-0.9003974120029534,0.015386071723153478,1.0061298980297886
0.21863837242126466,0.0010076222260913547,0.014996147155761719,0.0007121296374143224,0.1,0.01,300,7,10,"{'l2_regularization': 0.1, 'learning_rate': 0.01, 'max_iter': 300, 'max_leaf_nodes': 7, 'min_samples_leaf': 10}",-1.084354777071677,-0.9574838865469882,-0.9216200003304187,-0.972749297956228,-0.8731072512529489,-0.9618630426316521,0.07019829844953517,170,-0.8616676893498997,-0.8689946119473595,-0.8714210491126011,-0.8778733881029372,-0.8782109227416711,-0.8716335322508938,0.006140438761232099,0.9618630426316521
0.2226010799407959,0.0028229460055132064,0.01592426300048828,0.0008601099969296871,0.1,0.01,300,7,20,"{'l2_regularization': 0.1, 'learning_rate': 0.01, 'max_iter': 300, 'max_leaf_nodes': 7, 'min_samples_leaf': 20}",-1.1155097944529382,-1.023315272980381,-0.9277269099061558,-1.0216364309831274,-0.8991176506247389,-0.9974612117894683,0.07710080473470148,180,-0.9085445722422851,-0.9032085528246808,-0.9203532632936684,-0.936185688327783,-0.9242714756361119,-0.9185127104649059,0.01168303195456076,0.9974612117894683
0.42005114555358886,0.0025497410930167552,0.01884312629699707,0.0009444812837788882,0.1,0.01,300,15,10,"{'l2_regularization': 0.1, 'learning_rate': 0.01, 'max_iter': 300, 'max_leaf_nodes': 15, 'min_samples_leaf': 10}",-0.9740184164900074,-0.8379648149246857,-0.8107684025116909,-0.7919767998964776,-0.7472650639056647,-0.8323986995457051,0.07672895347405631,154,-0.6850647910217847,-0.692882943429632,-0.6951563617200363,-0.6973914674830619,-0.700102334274106,-0.6941195795857241,0.005120390340361382,0.8323986995457051
0.4032780647277832,0.008488287707771132,0.01859912872314453,0.0004869748264708036,0.1,0.01,300,15,20,"{'l2_regularization': 0.1, 'learning_rate': 0.01, 'max_iter': 300, 'max_leaf_nodes': 15, 'min_samples_leaf': 20}",-1.0034262863454655,-0.9388269772504528,-0.8187629818591384,-0.8632384770760316,-0.7581539610086174,-0.8764817367079412,0.08661425839883563,164,-0.7609903130862015,-0.7654613925424522,-0.7881647671357164,-0.7856378146095769,-0.7842983510159615,-0.7769105276779816,0.011330836726663858,0.8764817367079412
0.734626293182373,0.001995286477935002,0.02254767417907715,0.0005267393576595987,0.1,0.01,300,31,10,"{'l2_regularization': 0.1, 'learning_rate': 0.01, 'max_iter': 300, 'max_leaf_nodes': 31, 'min_samples_leaf': 10}",-0.9418729679815246,-0.793947502236567,-0.7412314025714565,-0.7477443799539547,-0.6961830093015042,-0.7841958524090014,0.08470900990506165,137,-0.5705663168473694,-0.5871071287363591,-0.5892305094083523,-0.5889920328641812,-0.6028967064948475,-0.5877585388702219,0.01028444609082157,0.7841958524090014
0.692961311340332,0.004224062394145736,0.02325096130371094,0.00042102295232167135,0.1,0.01,300,31,20,"{'l2_regularization': 0.1, 'learning_rate': 0.01, 'max_iter': 300, 'max_leaf_nodes': 31, 'min_samples_leaf': 20}",-0.9469500994224876,-0.9165253371127927,-0.7746396862294004,-0.8129855314210227,-0.6927648272193035,-0.8287730962810013,0.09310658664529117,148,-0.6630158918368725,-0.6877627822208485,-0.7080044133534857,-0.7025942792301583,-0.7137734030749875,-0.6950301539432704,0.01819112122207927,0.8287730962810013
0.07946567535400391,0.0007150786562104727,0.0061321258544921875,0.00019301841609919738,0.1,0.03,100,7,10,"{'l2_regularization': 0.1, 'learning_rate': 0.03, 'max_iter': 100, 'max_leaf_nodes': 7, 'min_samples_leaf': 10}",-1.087074703016356,-0.9538901957476151,-0.9200515980534159,-0.9714853872209243,-0.868869891249281,-0.9602743550575183,0.07241190393827228,169,-0.8598817108757142,-0.8642234174133655,-0.8676763105267965,-0.877820444416377,-0.8737509052507111,-0.8686705576965927,0.006442666696791589,0.9602743550575183
0.0796928882598877,0.0011596561399126347,0.006341695785522461,0.00029518257557643065,0.1,0.03,100,7,20,"{'l2_regularization': 0.1, 'learning_rate': 0.03, 'max_iter': 100, 'max_leaf_nodes': 7, 'min_samples_leaf': 20}",-1.1138916346276067,-1.0237019706791208,-0.9245614393542738,-1.0170035456855362,-0.8940787747203214,-0.9946474730133718,0.07821667736414875,178,-0.9042371693538164,-0.90127400971287,-0.9177026202558312,-0.9323076022128837,-0.9221163611690091,-0.9155275525408821,0.011492167953508917,0.9946474730133718
