mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__learning_rate,param_model__min_child_samples,param_model__n_estimators,param_model__num_leaves,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,mean_train_score,std_train_score
0.07358205318450928,0.012305341256505101,0.0064296722412109375,0.0007339269756312308,0.03,10,200,15,"{'model__learning_rate': 0.03, 'model__min_child_samples': 10, 'model__n_estimators': 200, 'model__num_leaves': 15}",-1.5598756040225041,-0.7986737444484057,-0.8766688471377592,-0.9110831535559458,-1.0365753372911537,0.304860095293738,1,-0.3706599650497333,-0.4879086695815995,-0.5414077413960732,-0.5689131952055123,-0.49222239280822955,0.07598800849256143
0.1259249448776245,0.023236244489095604,0.007326245307922363,0.0006179541090627197,0.03,10,200,31,"{'model__learning_rate': 0.03, 'model__min_child_samples': 10, 'model__n_estimators': 200, 'model__num_leaves': 31}",-1.608623369076196,-0.8305342215285102,-0.9146201749979712,-0.9222640092812886,-1.0690104437209915,0.3136175572487658,8,-0.19946487769151888,-0.32696559511372275,-0.4074543225934684,-0.45474978822401696,-0.34715864590568174,0.09673757155597285
0.13096749782562256,0.018835434201227855,0.010383784770965576,0.0013017146718841438,0.03,10,400,15,"{'model__learning_rate': 0.03, 'model__min_child_samples': 10, 'model__n_estimators': 400, 'model__num_leaves': 15}",-1.559371193271749,-0.793155751284277,-0.8816612628530567,-0.9242153317105282,-1.0396008847799028,0.303790687581477,2,-0.21940427946976798,-0.36331975659391785,-0.43712801530186435,-0.48354674653856505,-0.3758496994760288,0.09998231699406314
0.27355313301086426,0.046073157642214486,0.01584339141845703,0.0012596667776190692,0.03,10,400,31,"{'model__learning_rate': 0.03, 'model__min_child_samples': 10, 'model__n_estimators': 400, 'model__num_leaves': 31}",-1.6170261289311505,-0.8334692613631738,-0.9358175663224227,-0.928028846152473,-1.078585450692305,0.3134686069734727,12,-0.06535361086265327,-0.18242910500244228,-0.2670433930255727,-0.32906529553416014,-0.21097285110620712,0.0988805335655691
0.07816702127456665,0.016008110321570287,0.006294429302215576,0.0006418813181529486,0.03,20,200,15,"{'model__learning_rate': 0.03, 'model__min_child_samples': 20, 'model__n_estimators': 200, 'model__num_leaves': 15}",-1.618438878030266,-0.7959018764964002,-0.8810906845103954,-0.9150853773006318,-1.0526292040844234,0.3295425905118972,4,-0.4105704219025622,-0.5043127491815029,-0.5545041774206878,-0.5762480021736807,-0.5114088376696084,0.06379668119911451
0.1366422176361084,0.04703849685839002,0.008794724941253662,0.0008841216310821252,0.03,20,200,31,"{'model__learning_rate': 0.03, 'model__min_child_samples': 20, 'model__n_estimators': 200, 'model__num_leaves': 31}",-1.622638686819994,-0.8152761976472012,-0.9237182381155575,-0.9188501316885853,-1.0701208135678346,0.3219232485477312,9,-0.35691106601148936,-0.3646478729201846,-0.43235551398027,-0.4717669004055597,-0.40642033832937585,0.047798832158924144
0.17696452140808105,0.02663430336723722,0.014020085334777832,0.0018884480710574846,0.03,20,400,15,"{'model__learning_rate': 0.03, 'model__min_child_samples': 20, 'model__n_estimators': 400, 'model__num_leaves': 15}",-1.624342763483316,-0.7975787599097077,-0.8947098532694717,-0.9268414916187107,-1.0608682170703014,0.32878437755751017,5,-0.25626999009132295,-0.38984938967580446,-0.4592059780610626,-0.49788412060918813,-0.40080236960934457,0.09198562979610346
0.2960156202316284,0.0844975216621048,0.01835256814956665,0.0011552687126046514,0.03,20,400,31,"{'model__learning_rate': 0.03, 'model__min_child_samples': 20, 'model__n_estimators': 400, 'model__num_leaves': 31}",-1.626394679833351,-0.8277870752543368,-0.9570533928431154,-0.9332653961343714,-1.0861251360162936,0.31569579842669415,13,-0.1960884139946489,-0.21194776965266443,-0.2964063513506691,-0.35156353270494156,-0.264001516925731,0.06332251190596123
0.08328872919082642,0.011604288900755603,0.007585048675537109,0.0009743480544998795,0.08,10,200,15,"{'model__learning_rate': 0.08, 'model__min_child_samples': 10, 'model__n_estimators': 200, 'model__num_leaves': 15}",-1.530698238684012,-0.8092729101080451,-0.893139098138662,-0.9264449148618248,-1.039888790448136,0.2865670008233711,3,-0.16077765158309545,-0.3011341998049353,-0.38252124375839813,-0.4387216164466551,-0.320788677898271,0.1045333854970376
0.14269304275512695,0.017613381661304724,0.010098934173583984,0.0005684260692460527,0.08,10,200,31,"{'model__learning_rate': 0.08, 'model__min_child_samples': 10, 'model__n_estimators': 200, 'model__num_leaves': 31}",-1.5771637050987468,-0.8054471801227074,-0.9540337485984121,-0.9470005475190584,-1.070911295334731,0.2982351979614894,10,-0.03501720025148282,-0.12365040643167263,-0.20275275126319586,-0.2656550437157589,-0.15676885041552754,0.08644509511557495
0.14814907312393188,0.027564417069889064,0.013245940208435059,0.0007738467059993482,0.08,10,400,15,"{'model__learning_rate': 0.08, 'model__min_child_samples': 10, 'model__n_estimators': 400, 'model__num_leaves': 15}",-1.5420235933160666,-0.8142327696986801,-0.9257268987945455,-0.965578048915071,-1.061890327681091,0.28270070445718837,6,-0.0526939914384639,-0.15248128577509648,-0.23422124718837073,-0.2985556204854101,-0.1844880362218353,0.09203112023561756
0.3032037615776062,0.041029106951414825,0.017351865768432617,0.0018118905606311832,0.08,10,400,31,"{'model__learning_rate': 0.08, 'model__min_child_samples': 10, 'model__n_estimators': 400, 'model__num_leaves': 31}",-1.5659585183380165,-0.8082000181722014,-0.9813583289658322,-0.9580903703246887,-1.0784018089501848,0.2892286430664889,11,-0.0034910189206284487,-0.032987374461170636,-0.07783571543347516,-0.12728281290999338,-0.060399230431316904,0.046817195023531974
0.08945351839065552,0.017522915986102887,0.009230315685272217,0.001955375789323596,0.08,20,200,15,"{'model__learning_rate': 0.08, 'model__min_child_samples': 20, 'model__n_estimators': 200, 'model__num_leaves': 15}",-1.630786561675227,-0.7896731600510823,-0.9063464875552926,-0.9316778538943168,-1.0646210157939797,0.3312342295512674,7,-0.1931014735417822,-0.328769518600977,-0.4113232542509193,-0.45040834379220684,-0.3459006475464713,0.09854318748403948
