mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__learning_rate,param_model__min_child_samples,param_model__n_estimators,param_model__num_leaves,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,mean_train_score,std_train_score
0.08187121152877808,0.01235518507431437,0.015872955322265625,0.009384709721088735,0.03,10,200,15,"{'model__learning_rate': 0.03, 'model__min_child_samples': 10, 'model__n_estimators': 200, 'model__num_leaves': 15}",-1.6577629704347208,-0.8621336366346598,-0.8859737649220668,-0.9441213505645494,-1.0874979306389991,0.3305904239792197,3,-0.2941960232264419,-0.39553045125866304,-0.4389420478275555,-0.4876431989277356,-0.40407793031009903,0.07131927108412735
0.12846922874450684,0.024108825844954003,0.008087337017059326,0.0004589075947228908,0.03,10,200,31,"{'model__learning_rate': 0.03, 'model__min_child_samples': 10, 'model__n_estimators': 200, 'model__num_leaves': 31}",-1.6234281097416847,-0.941654832957038,-0.9180090350346676,-0.999449715026014,-1.1206354231898512,0.29179529055918735,12,-0.17786376011732205,-0.26790276185664774,-0.3191722874926735,-0.372131688729657,-0.2842676245490751,0.07163801429145093
0.13684934377670288,0.018110479587020053,0.010735809803009033,0.0007159399966656055,0.03,10,400,15,"{'model__learning_rate': 0.03, 'model__min_child_samples': 10, 'model__n_estimators': 400, 'model__num_leaves': 15}",-1.6216264127608873,-0.8370241869278462,-0.8800146820376914,-0.9778696568205767,-1.0791337346367502,0.3173397822027737,2,-0.17035709440543143,-0.2883706615505386,-0.34748380497978887,-0.4016143352460816,-0.3019564740454601,0.08588858798448398
0.2720315456390381,0.03588347113269282,0.0147629976272583,0.001621765292956052,0.03,10,400,31,"{'model__learning_rate': 0.03, 'model__min_child_samples': 10, 'model__n_estimators': 400, 'model__num_leaves': 31}",-1.5680464189478729,-0.9352295986898244,-0.9257732036960912,-1.0262326788458183,-1.1138204750449017,0.2651647165143607,11,-0.07170195541409405,-0.14402591258857916,-0.2028351384375512,-0.26196517680910014,-0.17013204581233113,0.0704855111062282
0.07498902082443237,0.015650352220422773,0.006496548652648926,0.0003730697903182785,0.03,20,200,15,"{'model__learning_rate': 0.03, 'model__min_child_samples': 20, 'model__n_estimators': 200, 'model__num_leaves': 15}",-1.7038347140501966,-0.8945718019929935,-0.8871189503678412,-0.9421816033092608,-1.1069267674300731,0.3452716950558257,9,-0.33177455437018494,-0.42022477147587417,-0.455574627605837,-0.5000565325154922,-0.4269076214918471,0.06178090596574994
0.12463659048080444,0.039629633847204304,0.009368658065795898,0.0026562396921479678,0.03,20,200,31,"{'model__learning_rate': 0.03, 'model__min_child_samples': 20, 'model__n_estimators': 200, 'model__num_leaves': 31}",-1.670426240450682,-1.0330945485979068,-0.9061470826175574,-0.9486399501906184,-1.1395769554641912,0.30987332567629206,16,-0.3040124057696539,-0.3145024044898095,-0.3504227711101608,-0.3970283591205501,-0.34149148512254357,0.036390947038389534
0.14651697874069214,0.02348071141398283,0.013215839862823486,0.0022790718890844963,0.03,20,400,15,"{'model__learning_rate': 0.03, 'model__min_child_samples': 20, 'model__n_estimators': 400, 'model__num_leaves': 15}",-1.6513476077782143,-0.900743186184761,-0.8946328822060038,-0.9674519751003816,-1.10354391281734,0.31756174878208165,7,-0.2079310543776258,-0.31353907271525466,-0.36850114618564145,-0.4167400328191903,-0.32667782652442806,0.07767530788015423
0.28527170419692993,0.09214164051394794,0.01649254560470581,0.0017860214197793394,0.03,20,400,31,"{'model__learning_rate': 0.03, 'model__min_child_samples': 20, 'model__n_estimators': 400, 'model__num_leaves': 31}",-1.6218264365477604,-1.022440758757384,-0.9255421719593475,-0.9746960110104075,-1.1361263445687249,0.2825041761266711,15,-0.1796885506827061,-0.18513073134458335,-0.23572801790078216,-0.2884864489376147,-0.22225843721642158,0.044040438585333526
0.08127450942993164,0.01092922175682394,0.008423984050750732,0.0014386870626917285,0.08,10,200,15,"{'model__learning_rate': 0.08, 'model__min_child_samples': 10, 'model__n_estimators': 200, 'model__num_leaves': 15}",-1.6531980923753562,-0.8391676159435038,-0.9067840261717489,-0.9829758954780937,-1.0955314074921756,0.3259635111043406,5,-0.12300213858624545,-0.23531545794928999,-0.30183944536926816,-0.3609732793935945,-0.2552825803245995,0.08836694347283522
0.1293918490409851,0.014713501173556088,0.008892416954040527,0.00016077656604883772,0.08,10,200,31,"{'model__learning_rate': 0.08, 'model__min_child_samples': 10, 'model__n_estimators': 200, 'model__num_leaves': 31}",-1.5257541848127811,-0.9682704095416583,-0.9243104458518344,-1.0236053104153044,-1.1104850876553947,0.24232340511642506,10,-0.04156921212580197,-0.09528662511588991,-0.1544324182129642,-0.2157444307449577,-0.12675817154990343,0.06506157717233495
0.1399376392364502,0.02017421353057807,0.012829363346099854,0.0013466429510855828,0.08,10,400,15,"{'model__learning_rate': 0.08, 'model__min_child_samples': 10, 'model__n_estimators': 400, 'model__num_leaves': 15}",-1.6570187017691853,-0.8186501460970289,-0.9033790510889534,-1.0098893010024332,-1.0972342999894003,0.3302183798829828,6,-0.037441071311737094,-0.1207406041677339,-0.1821923186464691,-0.2404250633822227,-0.14519976437704069,0.07524375902905464
0.3090140223503113,0.051594423815253976,0.02059197425842285,0.006200536693031665,0.08,10,400,31,"{'model__learning_rate': 0.08, 'model__min_child_samples': 10, 'model__n_estimators': 400, 'model__num_leaves': 31}",-1.4867235253250046,-0.9588304179718118,-0.9303207520714806,-1.0427462111614474,-1.104655226632436,0.22442498462948204,8,-0.011529759322958615,-0.025025702906611803,-0.0570273139551406,-0.10256654938234076,-0.049037331391762945,0.035044947086032785
0.09486126899719238,0.0074656642417533685,0.009435534477233887,0.0013181829312452584,0.08,20,200,15,"{'model__learning_rate': 0.08, 'model__min_child_samples': 20, 'model__n_estimators': 200, 'model__num_leaves': 15}",-1.5841525498192823,-0.8381120195441558,-0.9087821980937457,-0.975514133410721,-1.0766402252169762,0.2970131597414676,1,-0.15739758107226792,-0.2584851299079891,-0.32382432134492095,-0.37357111425502704,-0.27831953664505127,0.08086883129167896
0.13158857822418213,0.03289907879407203,0.010291695594787598,0.0005426829654508979,0.08,20,200,31,"{'model__learning_rate': 0.08, 'model__min_child_samples': 20, 'model__n_estimators': 200, 'model__num_leaves': 31}",-1.5705459787666955,-1.016585408375352,-0.9614185459565027,-0.9796222091066326,-1.1320430355512958,0.253948872642322,14,-0.12667052652584138,-0.1355250673470614,-0.18446998845660328,-0.23845664364156224,-0.17128055649276708,0.04459567685844076
0.13782280683517456,0.016990891662798966,0.012407362461090088,0.0013358950777686053,0.08,20,400,15,"{'model__learning_rate': 0.08, 'model__min_child_samples': 20, 'model__n_estimators': 400, 'model__num_leaves': 15}",-1.5592324659928791,-0.859252762557173,-0.9299472493693486,-1.0188151437739388,-1.0918119054233348,0.27572378817603177,4,-0.061388172419460124,-0.1453584659689103,-0.20882199542026753,-0.262314294207007,-0.16947073200391125,0.07488606351433601
0.24264395236968994,0.06734141690521706,0.01662147045135498,0.0015167390865046789,0.08,20,400,31,"{'model__learning_rate': 0.08, 'model__min_child_samples': 20, 'model__n_estimators': 400, 'model__num_leaves': 31}",-1.5447871692675013,-1.0025414170849851,-0.9726823846712755,-0.9988223050826958,-1.1297083190266144,0.23992194854422105,13,-0.05016370735760371,-0.05478486071493397,-0.08018935575655309,-0.12602258900293023,-0.07779012820800525,0.030102275780225278
