worst_rank,target_task_id,target_sn,target_actual_duration_min,target_prediction_min,target_signed_error_min,target_absolute_error_min,nearest_feature_distance,mean_neighbor_feature_distance,neighbor_duration_mean_min,neighbor_duration_std_min,neighbor_duration_min_min,neighbor_duration_max_min,mean_absolute_label_diff_min,max_absolute_label_diff_min,close_features_large_label_gap_count
1,8101229803258113,TLE00900AR1450052,30.88328333333335,22.091098424305095,-8.792184909028254,8.792184909028254,0.4237553589294934,0.5337537151165141,21.546839999999996,1.2186566103592462,20.600049999999975,23.533266666666705,9.33644333333335,10.283233333333374,5
2,8101232387588353,TLE00860VR1450018,23.78346666666666,15.670646205093616,-8.112820461573042,8.112820461573042,0.380882836266855,0.40910974461200206,16.639683333333323,0.9939849985594006,15.24919999999998,17.79891666666667,7.143783333333334,8.534266666666678,5
3,8101236806615297,TLE00900JR1450046,26.78336666666663,19.163198434416525,-7.620168232250105,7.620168232250105,0.27263816836085397,0.32882692002357866,18.970473333333338,1.313862435330348,17.66921666666669,21.183466666666654,7.812893333333295,9.114149999999942,5
4,8101237699297537,TLE00860CR1450020,23.48384999999998,17.476125924393894,-6.007724075606085,6.007724075606085,0.3602582954861767,0.3873661721462206,17.274079999999998,1.5612199627659475,15.24919999999998,19.6214,6.209769999999979,8.234649999999998,5
5,8101671352385793,TLE00860ER1450011,15.10001666666667,19.496790271086766,4.396773604420096,4.396773604420096,0.517534042732246,0.6119609547897127,18.178506666666657,0.7709902067939643,17.151316666666673,19.116466666666643,3.0784899999999853,4.016449999999972,1
6,8101292847579393,TLE00900AR1450049,18.166766666666668,22.169636213659498,4.00286954699283,4.00286954699283,0.9669088372050431,1.00240989910576,20.34033333333333,1.8650951656908354,18.63316666666667,23.133683333333334,2.1735666666666646,4.966916666666666,0
7,8101314900230401,TLE00900JR1450046,21.249816666666685,24.70106894882438,3.451252282157693,3.451252282157693,1.068262164577186,1.0888698215522208,22.445843333333332,0.3383812672530507,22.149716666666652,22.999866666666662,1.1960266666666464,1.7500499999999768,0
8,8101303723327745,TLE00860HR1450010,16.793783333333348,20.08310729935659,3.289323966023243,3.289323966023243,0.637604103180124,0.7377939699816144,17.960920000000005,1.0232987849352688,16.916733333333344,19.6214,1.1671366666666565,2.8276166666666533,0
9,8099034542899457,TLE00900VR1450048,14.299183333333325,17.329393912747932,3.0302105794146073,3.0302105794146073,1.6414787616759094,1.673243553901101,16.954286666666654,0.6977065415424325,16.050833333333326,17.748466666666655,2.6551033333333307,3.44928333333333,0
10,8102299493662977,TLE00900JR1450046,15.383499999999998,18.142616657942018,2.7591166579420197,2.7591166579420197,0.484261843832729,0.5655908342060876,17.336486666666666,1.0044037027565664,16.2832,18.88293333333332,1.9529866666666678,3.4994333333333216,0
