mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__l2_regularization,param_model__learning_rate,param_model__max_iter,param_model__max_leaf_nodes,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,mean_train_score,std_train_score
0.339271605014801,0.040645223898772,0.018200159072875977,0.0011583582675530587,0.0,0.03,200,15,"{'model__l2_regularization': 0.0, 'model__learning_rate': 0.03, 'model__max_iter': 200, 'model__max_leaf_nodes': 15}",-1.6423712683100038,-0.796729163496522,-0.8812373642844694,-0.9420536190049362,-1.065597853773983,0.3369754858875272,2,-0.3961535557691022,-0.5046669346972185,-0.55675586980208,-0.5777090700972487,-0.5088213575914123,0.07027539966484816
0.5171492099761963,0.0927397307111685,0.019068479537963867,0.0012726420514006633,0.0,0.03,200,31,"{'model__l2_regularization': 0.0, 'model__learning_rate': 0.03, 'model__max_iter': 200, 'model__max_leaf_nodes': 31}",-1.6628818556887242,-0.8287315044928688,-0.9093687414107843,-0.988892154167422,-1.0974685639399497,0.3313163811227284,8,-0.3366322375443647,-0.35734412737122406,-0.4306445369141476,-0.4688370778731329,-0.39836449492571735,0.053623521456909365
1.1013104915618896,0.3342849209647658,0.042985498905181885,0.015178321172206508,0.0,0.03,400,15,"{'model__l2_regularization': 0.0, 'model__learning_rate': 0.03, 'model__max_iter': 400, 'model__max_leaf_nodes': 15}",-1.6538415617974402,-0.8184022194027935,-0.8792219920886688,-0.9493630392143553,-1.0752072031258144,0.3372734340398579,4,-0.242168519196634,-0.3850071070343393,-0.46087617613722753,-0.498100527519304,-0.3965380824718762,0.09800158927389059
1.164000928401947,0.12223163266542689,0.040449321269989014,0.0052032568925472885,0.0,0.03,400,31,"{'model__l2_regularization': 0.0, 'model__learning_rate': 0.03, 'model__max_iter': 400, 'model__max_leaf_nodes': 31}",-1.6688460328478163,-0.8363140677472071,-0.9304620892417561,-0.9995522192085179,-1.1087936022613243,0.32849643454762406,10,-0.17906791250185303,-0.2026058814138647,-0.2927208511992703,-0.3470497534360254,-0.25536109963775333,0.06783495361036461
0.30999672412872314,0.027208163148441024,0.018707096576690674,0.0017525932474437818,0.0,0.08,200,15,"{'model__l2_regularization': 0.0, 'model__learning_rate': 0.08, 'model__max_iter': 200, 'model__max_leaf_nodes': 15}",-1.68138084487408,-0.858323583129039,-0.8812841842001227,-0.9659242012785545,-1.096728203370449,0.3399195811251333,7,-0.18432683566717917,-0.32643354161884225,-0.40491301916552314,-0.45587957554994335,-0.34288824300037196,0.10250194044834339
0.6188560128211975,0.12656213036624522,0.026606619358062744,0.001283240393547499,0.0,0.08,200,31,"{'model__l2_regularization': 0.0, 'model__learning_rate': 0.08, 'model__max_iter': 200, 'model__max_leaf_nodes': 31}",-1.6683517563475756,-0.8681356453699344,-0.938604790558866,-1.0059578075735258,-1.1202624999624755,0.3201698259749812,13,-0.12251674498560278,-0.1416090938294098,-0.22982656545166852,-0.28331774184601805,-0.1943175365281748,0.06541303631459222
0.6819316148757935,0.03459274068079043,0.03665953874588013,0.002684770528570485,0.0,0.08,400,15,"{'model__l2_regularization': 0.0, 'model__learning_rate': 0.08, 'model__max_iter': 400, 'model__max_leaf_nodes': 15}",-1.6963747079843197,-0.873546402202757,-0.9187796998953943,-0.9801820951289373,-1.1172207263028522,0.3365096351216416,12,-0.07100269887732008,-0.17943610667810417,-0.26421003667898096,-0.31900891177741697,-0.20841443850295555,0.09362961096385411
1.4045528769493103,0.3667331551481623,0.052198588848114014,0.0064092578479174826,0.0,0.08,400,31,"{'model__l2_regularization': 0.0, 'model__learning_rate': 0.08, 'model__max_iter': 400, 'model__max_leaf_nodes': 31}",-1.6711136134442104,-0.8777862186850945,-0.9496911259829061,-1.041379761971916,-1.1349926800210317,0.3149130290104357,15,-0.03984336127927869,-0.04282942006665442,-0.09808231194618101,-0.14466791385578912,-0.08135575178697582,0.0432890415754235
0.4529076814651489,0.04835776468662718,0.020521998405456543,0.0046979106580522755,1.0,0.03,200,15,"{'model__l2_regularization': 1.0, 'model__learning_rate': 0.03, 'model__max_iter': 200, 'model__max_leaf_nodes': 15}",-1.6181264384919691,-0.8186193251358518,-0.8766470788357761,-0.9383579656675415,-1.0629377020327846,0.3233227139348011,1,-0.4053711336951336,-0.5076458361137085,-0.5602642723884176,-0.5812627177833865,-0.5136359899951615,0.06801604972996647
0.6221571564674377,0.18425515266350884,0.026135742664337158,0.004589414233205652,1.0,0.03,200,31,"{'model__l2_regularization': 1.0, 'model__learning_rate': 0.03, 'model__max_iter': 200, 'model__max_leaf_nodes': 31}",-1.6812744957462638,-0.8342619740281024,-0.9181981263253295,-0.993477125197931,-1.1068029303244067,0.3364188841816989,9,-0.3509406590776117,-0.36990439889773385,-0.4366202301514346,-0.4749116169372839,-0.408094226266016,0.05000822370012355
