feature,importance_mean,importance_std
endpoint_altitude_change_m,1.7513077547825446,0.06550752415173222
planned_cumulative_ascent_m,0.5554982055410319,0.03294320206632842
similar_task_duration_min,0.07180463215228197,0.0078988791248921
similar_task_energy_soc_delta_pct,0.056616067825125925,0.00486585257092201
planned_total_distance_m,0.05263978883146293,0.005724089929065277
similar_top3_duration_mean_sec,0.0472714295926311,0.006139639598255585
planned_slope_mean,0.016933754620499796,0.004219206841903302
vehicle_prev1_duration_sec,0.00487734561869434,0.003069575362220274
planned_cumulative_descent_m,0.0035497214785666143,0.0025748207284167156
fleet_prev60m_speed_min,0.0014686027648436184,0.001740471803551807
similar_task_actual_distance_km,-0.0003091950067469873,0.0005823137443639623
similar_top3_od_distance_mean_m,-0.00045845272424031023,0.0009385256327108749
straight_line_distance_m,-0.002672219756805749,0.0011091232148732542
fleet_prev60m_speed_mean,-0.005491661641681267,0.002652509057034698
planned_slope_std,-0.012047621736251835,0.0031206291969971683
