feature,importance_mean,importance_std
endpoint_altitude_change_m,1.879075975716848,0.06850931864544267
planned_cumulative_ascent_m,0.32238327681665246,0.022871419456980787
similar_task_duration_min,0.16252276347329406,0.012490103867754301
planned_total_distance_m,0.0891395463372027,0.006860479430712381
similar_top3_duration_mean_sec,0.07674547118231437,0.008967419839487855
similar_task_energy_soc_delta_pct,0.04928388341429405,0.004516006459972785
straight_line_distance_m,0.010329337823432826,0.001739676607939979
planned_cumulative_descent_m,0.008342839520077827,0.0020647512190513756
planned_slope_mean,0.007938482069919406,0.002761049738611935
similar_task_actual_distance_km,0.007198726789765686,0.0009829010549410818
fleet_prev60m_speed_min,0.0011475908648704292,0.0011449477476034198
vehicle_prev1_duration_sec,0.00106692091394609,0.0021457469294485117
similar_top3_od_distance_mean_m,-0.00241559854718727,0.0008905304465588081
fleet_prev60m_speed_mean,-0.005253025331129868,0.0012243426736721838
planned_slope_std,-0.00639513008091086,0.0028069715458467013
