worst_rank,target_task_id,target_sn,neighbor_rank,neighbor_task_id,neighbor_sn,feature,target_value,neighbor_value,absolute_raw_difference,absolute_z_difference,target_actual_duration_min,neighbor_actual_duration_min,absolute_label_diff_min,feature_rms_z_distance
1,8101229803258113,TLE00900AR1450052,1,8098279219396865,TLE00860VR1450018,straight_line_distance_m,2844.679929217311,2713.2214865521023,131.45844266520862,0.3492650535946275,30.88328333333335,20.883833333333357,9.999449999999992,0.4237553589294934
1,8101229803258113,TLE00900AR1450052,1,8098279219396865,TLE00860VR1450018,planned_total_distance_m,4274.707549237683,4652.275236169459,377.5676869317758,0.7608149612288424,30.88328333333335,20.883833333333357,9.999449999999992,0.4237553589294934
1,8101229803258113,TLE00900AR1450052,1,8098279219396865,TLE00860VR1450018,endpoint_altitude_change_m,189.35169999999994,186.3823,2.9693999999999505,0.12743331241838374,30.88328333333335,20.883833333333357,9.999449999999992,0.4237553589294934
1,8101229803258113,TLE00900AR1450052,1,8098279219396865,TLE00860VR1450018,planned_slope_mean,0.045546437686236424,0.04107799451963542,0.004468443166601006,0.9381323372512747,30.88328333333335,20.883833333333357,9.999449999999992,0.4237553589294934
1,8101229803258113,TLE00900AR1450052,1,8098279219396865,TLE00860VR1450018,planned_slope_std,0.032431652941017595,0.03393658790467925,0.0015049349636616569,0.2745910444277277,30.88328333333335,20.883833333333357,9.999449999999992,0.4237553589294934
1,8101229803258113,TLE00900AR1450052,1,8098279219396865,TLE00860VR1450018,planned_cumulative_ascent_m,176.8589999999997,179.97500000000002,3.1160000000003265,0.16703335011051057,30.88328333333335,20.883833333333357,9.999449999999992,0.4237553589294934
1,8101229803258113,TLE00900AR1450052,1,8098279219396865,TLE00860VR1450018,planned_cumulative_descent_m,0.37799999999992906,0.8440000000001646,0.46600000000023556,0.12328548437401815,30.88328333333335,20.883833333333357,9.999449999999992,0.4237553589294934
1,8101229803258113,TLE00900AR1450052,1,8098279219396865,TLE00860VR1450018,vehicle_prev1_duration_sec,949.0239999999984,976.6259999999999,27.602000000001453,0.16663081501142296,30.88328333333335,20.883833333333357,9.999449999999992,0.4237553589294934
1,8101229803258113,TLE00900AR1450052,1,8098279219396865,TLE00860VR1450018,similar_task_actual_distance_km,4.375,4.75,0.375,0.5650610932105109,30.88328333333335,20.883833333333357,9.999449999999992,0.4237553589294934
1,8101229803258113,TLE00900AR1450052,1,8098279219396865,TLE00860VR1450018,similar_task_duration_min,21.59970000000003,21.13338333333333,0.4663166666666996,0.16945948089355078,30.88328333333335,20.883833333333357,9.999449999999992,0.4237553589294934
1,8101229803258113,TLE00900AR1450052,1,8098279219396865,TLE00860VR1450018,similar_task_energy_soc_delta_pct,18.4,18.799999999999997,0.3999999999999986,0.164749179630161,30.88328333333335,20.883833333333357,9.999449999999992,0.4237553589294934
1,8101229803258113,TLE00900AR1450052,1,8098279219396865,TLE00860VR1450018,similar_top3_duration_mean_sec,1292.6743333333322,1276.449,16.225333333332173,0.10024089879675735,30.88328333333335,20.883833333333357,9.999449999999992,0.4237553589294934
1,8101229803258113,TLE00900AR1450052,1,8098279219396865,TLE00860VR1450018,similar_top3_od_distance_mean_m,52.64816036546268,40.65175355476574,11.99640681069694,0.19255898025428492,30.88328333333335,20.883833333333357,9.999449999999992,0.4237553589294934
1,8101229803258113,TLE00900AR1450052,1,8098279219396865,TLE00860VR1450018,fleet_prev60m_speed_mean,3.0210305440710457,3.1843119427460804,0.16328139867503477,0.726516677468386,30.88328333333335,20.883833333333357,9.999449999999992,0.4237553589294934
1,8101229803258113,TLE00900AR1450052,1,8098279219396865,TLE00860VR1450018,fleet_prev60m_speed_min,0.0,0.0,0.0,0.0,30.88328333333335,20.883833333333357,9.999449999999992,0.4237553589294934
1,8101229803258113,TLE00900AR1450052,2,8091322018169089,TLE00900AR1450052,straight_line_distance_m,2844.679929217311,2317.3080217770707,527.3719074402402,1.4011468094560369,30.88328333333335,21.900600000000015,8.982683333333334,0.5364318196027483
1,8101229803258113,TLE00900AR1450052,2,8091322018169089,TLE00900AR1450052,planned_total_distance_m,4274.707549237683,4304.747491903709,30.039942666025127,0.06053176319322662,30.88328333333335,21.900600000000015,8.982683333333334,0.5364318196027483
1,8101229803258113,TLE00900AR1450052,2,8091322018169089,TLE00900AR1450052,endpoint_altitude_change_m,189.35169999999994,180.3757999999999,8.975900000000024,0.38520531721431706,30.88328333333335,21.900600000000015,8.982683333333334,0.5364318196027483
1,8101229803258113,TLE00900AR1450052,2,8091322018169089,TLE00900AR1450052,planned_slope_mean,0.045546437686236424,0.040707673267326716,0.004838764418909708,1.0158798499776018,30.88328333333335,21.900600000000015,8.982683333333334,0.5364318196027483
1,8101229803258113,TLE00900AR1450052,2,8091322018169089,TLE00900AR1450052,planned_slope_std,0.032431652941017595,0.03382879292444431,0.0013971399834267137,0.2549227285725623,30.88328333333335,21.900600000000015,8.982683333333334,0.5364318196027483
1,8101229803258113,TLE00900AR1450052,2,8091322018169089,TLE00900AR1450052,planned_cumulative_ascent_m,176.8589999999997,164.94999999999993,11.908999999999764,0.6383825951430759,30.88328333333335,21.900600000000015,8.982683333333334,0.5364318196027483
1,8101229803258113,TLE00900AR1450052,2,8091322018169089,TLE00900AR1450052,planned_cumulative_descent_m,0.37799999999992906,0.7230000000001837,0.34500000000025466,0.09127358821683729,30.88328333333335,21.900600000000015,8.982683333333334,0.5364318196027483
1,8101229803258113,TLE00900AR1450052,2,8091322018169089,TLE00900AR1450052,vehicle_prev1_duration_sec,949.0239999999984,889.1540000000003,59.86999999999807,0.36142985634131763,30.88328333333335,21.900600000000015,8.982683333333334,0.5364318196027483
1,8101229803258113,TLE00900AR1450052,2,8091322018169089,TLE00900AR1450052,similar_task_actual_distance_km,4.375,4.625,0.25,0.37670739547367393,30.88328333333335,21.900600000000015,8.982683333333334,0.5364318196027483
1,8101229803258113,TLE00900AR1450052,2,8091322018169089,TLE00900AR1450052,similar_task_duration_min,21.59970000000003,22.18343333333331,0.5837333333332779,0.2121286986244948,30.88328333333335,21.900600000000015,8.982683333333334,0.5364318196027483
1,8101229803258113,TLE00900AR1450052,2,8091322018169089,TLE00900AR1450052,similar_task_energy_soc_delta_pct,18.4,18.39999999999999,7.105427357601002e-15,2.886579864025407e-15,30.88328333333335,21.900600000000015,8.982683333333334,0.5364318196027483
1,8101229803258113,TLE00900AR1450052,2,8091322018169089,TLE00900AR1450052,similar_top3_duration_mean_sec,1292.6743333333322,1339.0139999999994,46.3396666666672,0.2862887153798088,30.88328333333335,21.900600000000015,8.982683333333334,0.5364318196027483
1,8101229803258113,TLE00900AR1450052,2,8091322018169089,TLE00900AR1450052,similar_top3_od_distance_mean_m,52.64816036546268,39.04164206741657,13.606518298046112,0.21840350445158113,30.88328333333335,21.900600000000015,8.982683333333334,0.5364318196027483
1,8101229803258113,TLE00900AR1450052,2,8091322018169089,TLE00900AR1450052,fleet_prev60m_speed_mean,3.0210305440710457,3.131377242210073,0.11034669813902731,0.4909849937109254,30.88328333333335,21.900600000000015,8.982683333333334,0.5364318196027483
1,8101229803258113,TLE00900AR1450052,2,8091322018169089,TLE00900AR1450052,fleet_prev60m_speed_min,0.0,0.0,0.0,0.0,30.88328333333335,21.900600000000015,8.982683333333334,0.5364318196027483
1,8101229803258113,TLE00900AR1450052,3,8097319905050881,TLE00900CR1450050,straight_line_distance_m,2844.679929217311,2790.1785756757004,54.50135354161057,0.1448017927168721,30.88328333333335,23.533266666666705,7.350016666666644,0.5589871356981182
1,8101229803258113,TLE00900AR1450052,3,8097319905050881,TLE00900CR1450050,planned_total_distance_m,4274.707549237683,4267.15727562225,7.5502736154330705,0.015214122730345836,30.88328333333335,23.533266666666705,7.350016666666644,0.5589871356981182
