worst_rank,target_task_id,target_sn,target_actual_start_time,target_actual_duration_min,target_prediction_min,target_signed_error_min,target_absolute_error_min,neighbor_rank,neighbor_task_id,neighbor_sn,neighbor_actual_start_time,neighbor_actual_duration_min,feature_rms_z_distance,feature_similarity_score,mean_abs_z_feature_diff,max_abs_z_feature_diff,label_diff_min,absolute_label_diff_min,label_gap_per_feature_distance,is_close_features_large_label_gap,top_feature_differences,target_planned_total_distance_m,neighbor_planned_total_distance_m,target_endpoint_altitude_change_m,neighbor_endpoint_altitude_change_m,target_planned_cumulative_ascent_m,neighbor_planned_cumulative_ascent_m,target_similar_task_duration_min,neighbor_similar_task_duration_min,target_similar_task_actual_distance_km,neighbor_similar_task_actual_distance_km,target_similar_top3_duration_mean_sec,neighbor_similar_top3_duration_mean_sec,target_similar_top3_od_distance_mean_m,neighbor_similar_top3_od_distance_mean_m,target_fleet_prev60m_speed_mean,neighbor_fleet_prev60m_speed_mean,target_fleet_prev60m_speed_min,neighbor_fleet_prev60m_speed_min
1,8101229803258113,TLE00900AR1450052,2026-07-06 07:39:59.114,30.88328333333335,22.091098424305095,-8.792184909028254,8.792184909028254,5,8069143529931009,TLE00900VR1450048,2026-06-13 15:40:11.082,20.816449999999943,0.5760513814759619,0.6344970803321821,0.44964998683976787,1.435647194459357,-10.066833333333406,10.066833333333406,17.47558231270987,True,straight_line_distance_m: 2845 → 2304 (|Δz|=1.436) | vehicle_prev1_duration_sec: 949 → 827 (|Δz|=0.736) | planned_slope_mean: 0.04555 → 0.04212 (|Δz|=0.719) | endpoint_altitude_change_m: 189.4 → 174.1 (|Δz|=0.655) | planned_total_distance_m: 4275 → 3979 (|Δz|=0.596),4274.707549237683,3978.826785365346,189.35169999999994,174.08770000000004,176.8589999999997,166.32199999999978,21.59970000000003,20.132416666666668,4.375,4.375,1292.6743333333322,1239.9903333333334,52.64816036546268,39.607080388028514,3.0210305440710457,3.1185275436211226,0.0,0.0
4,8101237699297537,TLE00860CR1450020,2026-07-06 07:48:01.178,23.48384999999998,17.476125924393894,-6.007724075606085,6.007724075606085,1,8098084992434433,TLE00860ER1450011,2026-07-04 02:20:57.040,17.216450000000002,0.3602582954861767,0.7351544947884953,0.27594039428905776,0.7505025916132086,-6.267399999999977,6.267399999999977,17.396962342093968,True,fleet_prev60m_speed_mean: 2.765 → 2.933 (|Δz|=0.751) | planned_total_distance_m: 3517 → 3811 (|Δz|=0.594) | planned_slope_mean: 0.03579 → 0.03304 (|Δz|=0.578) | endpoint_altitude_change_m: 117.2 → 129.2 (|Δz|=0.516) | similar_task_actual_distance_km: 3.25 → 3.5 (|Δz|=0.377),3516.8481990223895,3811.4139830511203,117.15290000000005,129.17050000000006,120.08100000000013,121.731,16.650083333333324,17.233266666666648,3.25,3.5,1019.6799999999997,999.0226666666662,52.75591371295138,69.62733491360684,2.7647313348415867,2.933403461261115,0.001,0.001
1,8101229803258113,TLE00900AR1450052,2026-07-06 07:39:59.114,30.88328333333335,22.091098424305095,-8.792184909028254,8.792184909028254,2,8091322018169089,TLE00900AR1450052,2026-06-29 07:41:19.175,21.900600000000015,0.5364318196027483,0.6508586891011895,0.38621905438369747,1.4011468094560369,-8.982683333333334,8.982683333333334,16.745247028756445,True,straight_line_distance_m: 2845 → 2317 (|Δz|=1.401) | planned_slope_mean: 0.04555 → 0.04071 (|Δz|=1.016) | planned_cumulative_ascent_m: 176.9 → 164.9 (|Δz|=0.638) | fleet_prev60m_speed_mean: 3.021 → 3.131 (|Δz|=0.491) | endpoint_altitude_change_m: 189.4 → 180.4 (|Δz|=0.385),4274.707549237683,4304.747491903709,189.35169999999994,180.3757999999999,176.8589999999997,164.94999999999993,21.59970000000003,22.18343333333331,4.375,4.625,1292.6743333333322,1339.0139999999994,52.64816036546268,39.04164206741657,3.0210305440710457,3.131377242210073,0.0,0.0
4,8101237699297537,TLE00860CR1450020,2026-07-06 07:48:01.178,23.48384999999998,17.476125924393894,-6.007724075606085,6.007724075606085,3,8095520941605121,TLE00900VR1450048,2026-07-02 06:52:41.061,17.36661666666667,0.38207357338783404,0.7235504818667006,0.27302570245392166,1.0760301203676077,-6.11723333333331,6.11723333333331,16.010616172932348,True,fleet_prev60m_speed_mean: 2.765 → 3.007 (|Δz|=1.076) | similar_task_actual_distance_km: 3.25 → 3.625 (|Δz|=0.565) | endpoint_altitude_change_m: 117.2 → 128.2 (|Δz|=0.473) | similar_task_energy_soc_delta_pct: 11.6 → 12.4 (|Δz|=0.329) | straight_line_distance_m: 2976 → 2853 (|Δz|=0.324),3516.8481990223895,3600.771312467926,117.15290000000005,128.1855999999999,120.08100000000013,120.70299999999997,16.650083333333324,16.26639999999999,3.25,3.625,1019.6799999999997,978.5793333333331,52.75591371295138,38.50030193455288,2.7647313348415867,3.0065643285208465,0.001,0.001
4,8101237699297537,TLE00860CR1450020,2026-07-06 07:48:01.178,23.48384999999998,17.476125924393894,-6.007724075606085,6.007724075606085,4,8095912540602625,TLE00900JR1450046,2026-07-02 13:31:02.150,16.916733333333344,0.4124008004983261,0.708014325428857,0.25904178312641896,1.2981746318634544,-6.567116666666635,6.567116666666635,15.924112316783173,True,fleet_prev60m_speed_mean: 2.765 → 3.056 (|Δz|=1.298) | similar_task_duration_min: 16.65 → 18.03 (|Δz|=0.503) | straight_line_distance_m: 2976 → 2806 (|Δz|=0.451) | vehicle_prev1_duration_sec: 1030 → 1092 (|Δz|=0.374) | similar_top3_od_distance_mean_m: 52.76 → 73.75 (|Δz|=0.337),3516.8481990223895,3539.843549555758,117.15290000000005,115.31690000000003,120.08100000000013,120.14700000000005,16.650083333333324,18.034449999999993,3.25,3.375,1019.6799999999997,1058.6849999999995,52.75591371295138,73.74655779098097,2.7647313348415867,3.0564903215089463,0.001,0.001
2,8101232387588353,TLE00860VR1450018,2026-07-06 07:42:37.144,23.78346666666666,15.670646205093616,-8.112820461573042,8.112820461573042,1,8093299765756161,TLE00900AR1450052,2026-06-30 17:13:11.118,17.79891666666667,0.380882836266855,0.7241744004172346,0.2534606222508326,0.9181785997236516,-5.984549999999988,5.984549999999988,15.712312107986612,True,fleet_prev60m_speed_mean: 2.959 → 3.166 (|Δz|=0.918) | similar_task_duration_min: 15.49 → 17.5 (|Δz|=0.729) | similar_top3_od_distance_mean_m: 43.38 → 80.24 (|Δz|=0.592) | vehicle_prev1_duration_sec: 1039 → 957.1 (|Δz|=0.494) | planned_slope_mean: 0.04003 → 0.03838 (|Δz|=0.346),3499.8998208308667,3546.382210478076,131.9828,128.11119999999994,132.02200000000005,132.35000000000025,15.49373333333334,17.498750000000015,3.375,3.375,931.0729999999998,947.0303333333331,43.38341148091976,80.24350789024267,2.959483138337175,3.165839703363016,0.001,0.001
3,8101236806615297,TLE00900JR1450046,2026-07-06 07:47:07.136,26.78336666666663,19.163198434416525,-7.620168232250105,7.620168232250105,4,8098089885221121,TLE00900AR1450052,2026-07-04 02:25:55.028,21.183466666666654,0.3661840461217003,0.731965801268711,0.22511129085302534,0.988495077780972,-5.599899999999977,5.599899999999977,15.292583222314565,True,similar_task_energy_soc_delta_pct: 12 → 14.4 (|Δz|=0.988) | fleet_prev60m_speed_mean: 2.806 → 2.973 (|Δz|=0.747) | similar_task_duration_min: 18.27 → 19.43 (|Δz|=0.424) | vehicle_prev1_duration_sec: 1061 → 1119 (|Δz|=0.350) | similar_top3_duration_mean_sec: 1122 → 1173 (|Δz|=0.316),3783.517004214012,3752.706657135376,149.69910000000004,147.0969,135.41200000000003,135.73400000000015,18.266750000000002,19.43346666666667,4.0,4.0,1121.796333333333,1172.9983333333328,52.13194390183364,37.981018354598454,2.8055256673513687,2.9734040069101826,0.001,0.001
2,8101232387588353,TLE00860VR1450018,2026-07-06 07:42:37.144,23.78346666666666,15.670646205093616,-8.112820461573042,8.112820461573042,5,8095520941605121,TLE00900VR1450048,2026-07-02 06:52:41.061,17.36661666666667,0.4285192112538581,0.700025587420884,0.32168443891302445,1.1576659284717774,-6.4168499999999895,6.4168499999999895,14.974474496077137,True,planned_slope_mean: 0.04003 → 0.03451 (|Δz|=1.158) | similar_task_energy_soc_delta_pct: 14 → 12.4 (|Δz|=0.659) | planned_cumulative_ascent_m: 132 → 120.7 (|Δz|=0.607) | similar_task_actual_distance_km: 3.375 → 3.625 (|Δz|=0.377) | planned_cumulative_descent_m: 0.806 → 1.982 (|Δz|=0.311),3499.8998208308667,3600.771312467926,131.9828,128.1855999999999,132.02200000000005,120.70299999999997,15.49373333333334,16.26639999999999,3.375,3.625,931.0729999999998,978.5793333333331,43.38341148091976,38.50030193455288,2.959483138337175,3.0065643285208465,0.001,0.001
1,8101229803258113,TLE00900AR1450052,2026-07-06 07:39:59.114,30.88328333333335,22.091098424305095,-8.792184909028254,8.792184909028254,3,8097319905050881,TLE00900CR1450050,2026-07-03 13:22:40.007,23.533266666666705,0.5589871356981182,0.6414421114207576,0.2872283472917443,1.8712129803118664,-7.350016666666644,7.350016666666644,13.148811837122546,True,vehicle_prev1_duration_sec: 949 → 1259 (|Δz|=1.871) | similar_top3_od_distance_mean_m: 52.65 → 105.1 (|Δz|=0.841) | fleet_prev60m_speed_mean: 3.021 → 2.9 (|Δz|=0.537) | endpoint_altitude_change_m: 189.4 → 183.7 (|Δz|=0.243) | similar_top3_duration_mean_sec: 1293 → 1260 (|Δz|=0.202),4274.707549237683,4267.15727562225,189.35169999999994,183.69259999999997,176.8589999999997,176.7890000000001,21.59970000000003,21.184049999999992,4.375,4.375,1292.6743333333322,1260.0166666666664,52.64816036546268,105.05588663487913,3.0210305440710457,2.9002683030908556,0.0,0.0
4,8101237699297537,TLE00860CR1450020,2026-07-06 07:48:01.178,23.48384999999998,17.476125924393894,-6.007724075606085,6.007724075606085,2,8098077331374337,TLE00900CR1450050,2026-07-04 02:13:09.198,19.6214,0.36644479610088776,0.7318261248851561,0.2674402171288766,0.7210764679859998,-3.8624499999999777,3.8624499999999777,10.540332516924561,True,similar_task_duration_min: 16.65 → 18.63 (|Δz|=0.721) | similar_top3_duration_mean_sec: 1020 → 1123 (|Δz|=0.641) | fleet_prev60m_speed_mean: 2.765 → 2.904 (|Δz|=0.618) | planned_slope_mean: 0.03579 → 0.03341 (|Δz|=0.501) | planned_total_distance_m: 3517 → 3739 (|Δz|=0.448),3516.8481990223895,3739.1254820342924,117.15290000000005,115.86789999999996,120.08100000000013,120.76400000000001,16.650083333333324,18.634333333333327,3.25,3.5,1019.6799999999997,1123.3613333333324,52.75591371295138,66.67688166026099,2.7647313348415867,2.9035521573880536,0.001,0.001
5,8101671352385793,TLE00860ER1450011,2026-07-06 15:09:09.045,15.10001666666667,19.496790271086766,4.396773604420096,4.396773604420096,1,8097965043941633,TLE00900AR1450052,2026-07-04 00:18:55.249,18.65079999999997,0.517534042732246,0.6589638003767934,0.340377266895639,1.6297945306523824,3.550783333333298,3.550783333333298,6.860965733939842,True,similar_task_duration_min: 23.48 → 19 (|Δz|=1.630) | similar_task_energy_soc_delta_pct: 10.4 → 12 (|Δz|=0.659) | vehicle_prev1_duration_sec: 1358 → 1275 (|Δz|=0.502) | planned_slope_mean: 0.03547 → 0.03353 (|Δz|=0.407) | similar_task_actual_distance_km: 3.5 → 3.75 (|Δz|=0.377),3548.059173685095,3713.4595447125807,116.62900000000002,115.72679999999991,119.947,121.08699999999999,23.48384999999998,18.999000000000002,3.5,3.75,1161.2303333333332,1122.9913333333327,52.66261910138377,66.71257639040604,3.448452373042825,3.389137129746567,0.001,0.001
