worst_rank,target_task_id,target_sn,neighbor_rank,neighbor_task_id,neighbor_sn,feature,target_value,neighbor_value,absolute_raw_difference,absolute_z_difference,target_actual_duration_min,neighbor_actual_duration_min,absolute_label_diff_min,feature_rms_z_distance
1,8101229803258113,TLE00900AR1450052,1,8098279219396865,TLE00860VR1450018,planned_slope_mean,0.045546437686236424,0.04107799451963542,0.004468443166601006,0.9381323372512747,30.88328333333335,20.883833333333357,9.999449999999992,0.4237553589294934
1,8101229803258113,TLE00900AR1450052,1,8098279219396865,TLE00860VR1450018,planned_total_distance_m,4274.707549237683,4652.275236169459,377.5676869317758,0.7608149612288424,30.88328333333335,20.883833333333357,9.999449999999992,0.4237553589294934
1,8101229803258113,TLE00900AR1450052,1,8098279219396865,TLE00860VR1450018,fleet_prev60m_speed_mean,3.0210305440710457,3.1843119427460804,0.16328139867503477,0.726516677468386,30.88328333333335,20.883833333333357,9.999449999999992,0.4237553589294934
1,8101229803258113,TLE00900AR1450052,1,8098279219396865,TLE00860VR1450018,similar_task_actual_distance_km,4.375,4.75,0.375,0.5650610932105109,30.88328333333335,20.883833333333357,9.999449999999992,0.4237553589294934
1,8101229803258113,TLE00900AR1450052,1,8098279219396865,TLE00860VR1450018,straight_line_distance_m,2844.679929217311,2713.2214865521023,131.45844266520862,0.3492650535946275,30.88328333333335,20.883833333333357,9.999449999999992,0.4237553589294934
1,8101229803258113,TLE00900AR1450052,2,8091322018169089,TLE00900AR1450052,straight_line_distance_m,2844.679929217311,2317.3080217770707,527.3719074402402,1.4011468094560369,30.88328333333335,21.900600000000015,8.982683333333334,0.5364318196027483
1,8101229803258113,TLE00900AR1450052,2,8091322018169089,TLE00900AR1450052,planned_slope_mean,0.045546437686236424,0.040707673267326716,0.004838764418909708,1.0158798499776018,30.88328333333335,21.900600000000015,8.982683333333334,0.5364318196027483
1,8101229803258113,TLE00900AR1450052,2,8091322018169089,TLE00900AR1450052,planned_cumulative_ascent_m,176.8589999999997,164.94999999999993,11.908999999999764,0.6383825951430759,30.88328333333335,21.900600000000015,8.982683333333334,0.5364318196027483
1,8101229803258113,TLE00900AR1450052,2,8091322018169089,TLE00900AR1450052,fleet_prev60m_speed_mean,3.0210305440710457,3.131377242210073,0.11034669813902731,0.4909849937109254,30.88328333333335,21.900600000000015,8.982683333333334,0.5364318196027483
1,8101229803258113,TLE00900AR1450052,2,8091322018169089,TLE00900AR1450052,endpoint_altitude_change_m,189.35169999999994,180.3757999999999,8.975900000000024,0.38520531721431706,30.88328333333335,21.900600000000015,8.982683333333334,0.5364318196027483
