feature,importance_mean,importance_std
similar_top3_duration_mean_sec,1.973901683992803,0.087791302080109
similar_task_duration_min,0.19370047005927873,0.011406049774778217
endpoint_altitude_change_m,0.05800879680203597,0.006122684994328435
similar_task_actual_distance_km,0.05613336222563956,0.006618275981396415
planned_cumulative_ascent_m,0.029386041531118078,0.004411396769914607
planned_total_distance_m,0.01808920973271515,0.004961606936995526
straight_line_distance_m,0.0034012627580101264,0.002469807087242245
fleet_prev60m_speed_mean,0.0030510778562702345,0.0019701259747516645
planned_slope_std,0.0012914943621906815,0.0007100241544817408
similar_top3_od_distance_mean_m,0.0008090070773305702,0.0015637925928074353
vehicle_prev1_duration_sec,0.00028190891433098607,0.0007241414212312718
fleet_prev60m_speed_min,3.346959206275146e-05,9.859055400636418e-05
planned_cumulative_descent_m,-0.00017954591638575935,0.00014790055739084365
similar_task_energy_soc_delta_pct,-0.0012526335868547124,0.0007953126278431409
planned_slope_mean,-0.0042886180450893655,0.0008779295951697445
