mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__max_depth,param_model__max_features,param_model__min_samples_leaf,param_model__n_estimators,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,mean_train_score,std_train_score
0.8762024641036987,0.3148423258860611,0.04508054256439209,0.007177057088556136,,sqrt,1,300,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__n_estimators': 300}",-1.9810610517608123,-0.7471718168007436,-1.0198732817757146,-1.0312200913679253,-1.194831560426299,0.4679570416135546,8,-0.228438130380782,-0.23163689279508276,-0.22409429256530378,-0.22600329371425587,-0.2275431523638561,0.002820704474943249
0.6696465611457825,0.19601133595193074,0.040429651737213135,0.0031152356062094776,,sqrt,3,300,"{'model__max_depth': None, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 3, 'model__n_estimators': 300}",-1.9821631462380445,-0.7544050062620293,-1.0432413595946801,-1.0048410523674782,-1.1961626411155581,0.4671550788194602,9,-0.40620465436441305,-0.4162567020958666,-0.39484975918506193,-0.3982143982276075,-0.40388137846823724,0.008249712990495874
2.330173432826996,1.0547401577448883,0.048272550106048584,0.013528976264924221,,0.8,1,300,"{'model__max_depth': None, 'model__max_features': 0.8, 'model__min_samples_leaf': 1, 'model__n_estimators': 300}",-1.737753946960809,-0.7958007777125264,-0.8689424055268697,-1.0084330170737392,-1.102732536818486,0.3745028441148559,6,-0.24103089327969773,-0.24069221319575043,-0.2357550789163663,-0.23743575590574448,-0.23872848532438973,0.0022175213957552997
1.7542653679847717,0.7247462083751999,0.04458892345428467,0.008849278761821863,,0.8,3,300,"{'model__max_depth': None, 'model__max_features': 0.8, 'model__min_samples_leaf': 3, 'model__n_estimators': 300}",-1.6909019350340986,-0.7708137170841242,-0.8367678625288064,-0.9194577827766187,-1.054485324355912,0.3711903195426353,2,-0.3621545792550854,-0.3666057797602307,-0.35414303124062013,-0.3573716937335197,-0.36006877099736395,0.004729473995212767
0.7951395511627197,0.3020428131931101,0.04386335611343384,0.008723337254432525,12,sqrt,1,300,"{'model__max_depth': 12, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__n_estimators': 300}",-1.974039891662312,-0.7582381194404132,-1.034864984891256,-1.0278635065665924,-1.1987516256401434,0.46129860850442955,12,-0.2386124816544577,-0.26421986947106646,-0.27393959369893534,-0.2963477376972566,-0.268279920630429,0.02071518286757865
0.7153162360191345,0.2157264564428955,0.04292595386505127,0.014868108088780072,12,sqrt,3,300,"{'model__max_depth': 12, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 3, 'model__n_estimators': 300}",-1.9826310880765883,-0.7389539156157152,-1.0430170029164336,-1.0056563296557108,-1.1925645840661119,0.47097422803318406,7,-0.40669987422093135,-0.41688131347811674,-0.40358966059629503,-0.41494055565733584,-0.41052785098816974,0.005536929206538208
1.983984649181366,0.7726947000937842,0.03800123929977417,0.0037711005899682157,12,0.8,1,300,"{'model__max_depth': 12, 'model__max_features': 0.8, 'model__min_samples_leaf': 1, 'model__n_estimators': 300}",-1.734912687655853,-0.7893589288688811,-0.8610240383607988,-1.0060339796278521,-1.0978324086283462,0.37600941658301906,5,-0.25076800391263526,-0.26198578614804896,-0.2737562265457184,-0.29510678560661074,-0.2704042005532533,0.01641572193188051
1.575110912322998,0.6312955807906114,0.03525823354721069,0.0063153600348733185,12,0.8,3,300,"{'model__max_depth': 12, 'model__max_features': 0.8, 'model__min_samples_leaf': 3, 'model__n_estimators': 300}",-1.689102760692034,-0.7650385195553019,-0.8484434005916666,-0.9226666612198596,-1.0563128355147156,0.3695723266230912,3,-0.3640623627762342,-0.37057639287843475,-0.3640796309558491,-0.37519207641080665,-0.3684776157553312,0.0046990843914610355
0.8718920350074768,0.36241893238040035,0.04460108280181885,0.010270175133262664,20,sqrt,1,300,"{'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 1, 'model__n_estimators': 300}",-1.9809958906191985,-0.7499571585247069,-1.029289011165287,-1.0264677668553996,-1.196677456791148,0.4668256261182567,11,-0.22806680099884874,-0.23129423714221956,-0.2238981238619049,-0.226410074752709,-0.22741730918892056,0.0026856841093847754
0.6961965560913086,0.20061558405721983,0.03716009855270386,0.00140275304259354,20,sqrt,3,300,"{'model__max_depth': 20, 'model__max_features': 'sqrt', 'model__min_samples_leaf': 3, 'model__n_estimators': 300}",-1.9821631462380445,-0.7544050062620293,-1.0431432077824858,-1.0058516462835998,-1.19639075164154,0.4670598504469324,10,-0.40620465436441305,-0.4162567020958666,-0.3948347276284912,-0.3980047017441307,-0.40382519645822534,0.008290217742032637
2.533542811870575,1.2946815015607103,0.0575791597366333,0.01930927957428545,20,0.8,1,300,"{'model__max_depth': 20, 'model__max_features': 0.8, 'model__min_samples_leaf': 1, 'model__n_estimators': 300}",-1.7374670285223783,-0.7949176912754533,-0.8512587232456015,-1.0057039984446134,-1.0973368603720117,0.37754967122548244,4,-0.2415554117762586,-0.24106903890743453,-0.2356523067220185,-0.23848561345335373,-0.23919059271476634,0.0023525195439062876
2.1132524609565735,1.0464803812653538,0.05792248249053955,0.024165012602380916,20,0.8,3,300,"{'model__max_depth': 20, 'model__max_features': 0.8, 'model__min_samples_leaf': 3, 'model__n_estimators': 300}",-1.6909019350340986,-0.770825035414224,-0.8364292671105714,-0.9190747662771954,-1.0543077509590224,0.37127267576570994,1,-0.3621545792550854,-0.3666093297367004,-0.35411941713864836,-0.35744536821633527,-0.3600821735866923,0.004727733063551961
