mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_model__learning_rate,param_model__max_depth,param_model__n_estimators,param_model__subsample,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,mean_train_score,std_train_score
0.07000380754470825,0.008901082367353423,0.002860546112060547,1.676491230389426e-05,0.03,3,200,0.8,"{'model__learning_rate': 0.03, 'model__max_depth': 3, 'model__n_estimators': 200, 'model__subsample': 0.8}",-1.4716464380833363,-0.8104708866208745,-0.8867025301748324,-0.8807481543767459,-1.0123920023139472,0.26684017681138156,1,-0.5599528692797676,-0.6189833977550454,-0.6444965662436376,-0.6533292862489881,-0.6191905298818596,0.03645200097376133
0.07305818796157837,0.011730930454237905,0.003263533115386963,0.00020698120342841676,0.03,3,200,1.0,"{'model__learning_rate': 0.03, 'model__max_depth': 3, 'model__n_estimators': 200, 'model__subsample': 1.0}",-1.4958743909503442,-0.8048145685253729,-0.8808788531325027,-0.8816118090237798,-1.015794905408,0.2789249269546245,3,-0.569943794530827,-0.6294163775212592,-0.6486100914650177,-0.6552127356639471,-0.6257957497952628,0.033609533972570486
0.15381985902786255,0.016483327828086945,0.003885805606842041,0.0002548141088744351,0.03,3,400,0.8,"{'model__learning_rate': 0.03, 'model__max_depth': 3, 'model__n_estimators': 400, 'model__subsample': 0.8}",-1.4835063281814627,-0.8290337191343738,-0.8663429759651805,-0.8845511293293086,-1.0158585381525813,0.2707371915105954,4,-0.4435550879389118,-0.5434298961618855,-0.5890916583600121,-0.6060254939047881,-0.5455255340913994,0.06316766559735852
0.127940833568573,0.010079353601322446,0.0038883090019226074,0.00026832310398350426,0.03,3,400,1.0,"{'model__learning_rate': 0.03, 'model__max_depth': 3, 'model__n_estimators': 400, 'model__subsample': 1.0}",-1.49631474423822,-0.8217444088510915,-0.8671191416384543,-0.8883065581836163,-1.0183712132278457,0.27698651712941547,5,-0.47084380804600184,-0.5773862835949091,-0.613738289124623,-0.617407877798933,-0.5698440646411167,0.05925992561960746
0.1930444836616516,0.024596702480064302,0.0035727620124816895,0.00010603535636881553,0.03,5,200,0.8,"{'model__learning_rate': 0.03, 'model__max_depth': 5, 'model__n_estimators': 200, 'model__subsample': 0.8}",-1.6261822441794418,-0.8177395839629843,-0.9361988874492958,-0.930203675264318,-1.0775810977140101,0.32023033280705215,9,-0.330686921347266,-0.441561799637357,-0.491794342647396,-0.5165326262824088,-0.44514392247860696,0.07138950455904057
0.18537479639053345,0.017219433823365292,0.0036845803260803223,9.364955763711835e-05,0.03,5,200,1.0,"{'model__learning_rate': 0.03, 'model__max_depth': 5, 'model__n_estimators': 200, 'model__subsample': 1.0}",-1.6409027419663087,-0.7976044654896656,-0.9253451408401888,-0.9557404679563642,-1.0798982040631318,0.32928621257672414,11,-0.32550893740721837,-0.446929835871304,-0.49685121913971614,-0.5248363986766846,-0.4485315977737308,0.07631243190764848
0.3948269486427307,0.03453540878595024,0.005117952823638916,0.0005707631824912609,0.03,5,400,0.8,"{'model__learning_rate': 0.03, 'model__max_depth': 5, 'model__n_estimators': 400, 'model__subsample': 0.8}",-1.6219213288276988,-0.8356800611534106,-0.9258767725871537,-0.92873065442815,-1.0780522042491032,0.3162246699978984,10,-0.18478454416512802,-0.31125493761976375,-0.3789476423987513,-0.4182138980963603,-0.32330025557000086,0.0886523028310749
0.35596388578414917,0.015143173349195953,0.005712330341339111,0.0010746504140308852,0.03,5,400,1.0,"{'model__learning_rate': 0.03, 'model__max_depth': 5, 'model__n_estimators': 400, 'model__subsample': 1.0}",-1.6364436761570198,-0.8142878276385398,-0.9218819795830513,-0.9547977307647835,-1.0818528035358486,0.3243823778947606,13,-0.19965466738650897,-0.3601701207817289,-0.4234887269050053,-0.4433443065815263,-0.35666445541369235,0.09571212447338666
0.08576291799545288,0.01333227613590143,0.0036792755126953125,0.0004189547348537234,0.08,3,200,0.8,"{'model__learning_rate': 0.08, 'model__max_depth': 3, 'model__n_estimators': 200, 'model__subsample': 0.8}",-1.4547762603115664,-0.8394556953856577,-0.8583796792883935,-0.9088252519048646,-1.0153592217226204,0.25496149113544947,2,-0.38340365829361056,-0.5079333912482173,-0.5571513743918228,-0.5785768890198878,-0.5067663282383846,0.07568870438779197
0.0755658745765686,0.006592154961768029,0.003476381301879883,0.00015558716777990764,0.08,3,200,1.0,"{'model__learning_rate': 0.08, 'model__max_depth': 3, 'model__n_estimators': 200, 'model__subsample': 1.0}",-1.5556490113364503,-0.8544735664840851,-0.8530175307082513,-0.9028320772310433,-1.0414930464399574,0.29752416983074526,7,-0.4077008977419872,-0.5332839743644138,-0.5858548090873497,-0.5938113337835812,-0.530162753744333,0.0744301601554113
